steps,terminated_early,total_reward,track_pct,search_pct,visibility_pct,n_spiral_activations,mean_centering_dist,mean_fraction,mean_action_jerk,post_handoff_cent,n_transitions,episode,model,scenario
359,True,-51.42472753695676,18.105849582172702,64.9025069637883,18.941504178272982,3,1.0252379471936237,0.01903545673076923,0.0684934184891718,1.0274091649372756,6,1,./models/hover_track_v5/checkpoints/model_250000_steps.zip,slow_easy
144,True,-78.77076533177488,13.88888888888889,50.0,15.277777777777779,2,0.9069549104018595,0.020166015625,0.09088046325149236,0.9116080428748887,4,2,./models/hover_track_v5/checkpoints/model_250000_steps.zip,slow_easy
635,True,-214.85991270764842,5.196850393700787,86.14173228346456,5.511811023622047,2,1.1757365609419559,0.015003551136363636,0.030382354411058573,1.1783798452072165,4,3,./models/hover_track_v5/checkpoints/model_250000_steps.zip,slow_easy
572,True,-193.7274409748433,4.370629370629371,89.86013986013987,4.545454545454546,1,1.01443759143833,0.0371484375,0.01958773319728529,1.0187567138284903,2,4,./models/hover_track_v5/checkpoints/model_250000_steps.zip,slow_easy
301,True,-58.824175537537364,12.624584717607974,67.44186046511628,13.621262458471762,3,0.9888077619717317,0.028525904605263157,0.06265798191074282,1.0053988297857654,6,5,./models/hover_track_v5/checkpoints/model_250000_steps.zip,slow_easy
704,True,658.6799230191824,60.51136363636363,29.40340909090909,60.79545454545455,2,0.6813784085487058,0.08031882702464789,0.11279648624010818,0.5990612553802711,4,1,./models/hover_track_v5/checkpoints/model_250000_steps.zip,medium
588,True,288.2782070467845,38.605442176870746,40.136054421768705,39.45578231292517,5,0.7691898910634078,0.12497848981277533,0.10969057074689276,0.7348258886481216,10,2,./models/hover_track_v5/checkpoints/model_250000_steps.zip,medium
284,True,601.5305782082492,84.15492957746478,8.80281690140845,84.15492957746478,1,0.5345317957978769,0.15857495423640167,0.10326288708949678,0.44700897413269275,1,3,./models/hover_track_v5/checkpoints/model_250000_steps.zip,medium
327,True,475.7019311082115,73.70030581039755,16.207951070336392,74.00611620795107,1,0.5062641294073066,0.06776776452282157,0.061633995998410816,0.5083115259311961,2,4,./models/hover_track_v5/checkpoints/model_250000_steps.zip,medium
316,True,-5.326087329724043,22.78481012658228,63.29113924050633,23.417721518987342,2,0.7043987243454476,0.023356119791666668,0.05581908335406629,0.7144934004480504,4,5,./models/hover_track_v5/checkpoints/model_250000_steps.zip,medium
101,True,-56.194222157795075,5.9405940594059405,59.40594059405941,6.930693069306931,1,0.9666719531016565,0.01708984375,0.09214606946334243,0.965156839629798,2,1,./models/hover_track_v5/checkpoints/model_250000_steps.zip,fast_hard
1019,True,1115.6236001253956,68.30225711481845,16.48675171736997,68.9892051030422,7,0.7061089736023309,0.046562107130028736,0.13864213228042738,0.7154524247694877,14,2,./models/hover_track_v5/checkpoints/model_250000_steps.zip,fast_hard
521,True,288.33044434172785,51.43953934740883,34.5489443378119,51.82341650671785,2,0.775872786337501,0.06039383162313433,0.11103368508898151,0.8218147204484184,4,3,./models/hover_track_v5/checkpoints/model_250000_steps.zip,fast_hard
337,True,-46.82167334060938,27.893175074183976,59.05044510385757,28.486646884272997,2,0.9454352164484894,0.04443359375,0.10381371735240377,0.9509214817127941,4,4,./models/hover_track_v5/checkpoints/model_250000_steps.zip,fast_hard
469,True,-27.454175298380576,22.601279317697227,68.23027718550107,23.02771855010661,2,0.9087247024976995,0.08202203714622641,0.05653450132096903,0.9114038617276206,4,5,./models/hover_track_v5/checkpoints/model_250000_steps.zip,fast_hard
750,True,335.35099029197886,37.46666666666667,52.666666666666664,37.86666666666667,3,0.7086170530527303,0.07157056272241993,0.08412253409959823,0.7335451565680375,6,1,./models/hover_track_v5/checkpoints/model_250000_steps.zip,recovery
504,True,189.58864005679018,51.58730158730159,40.476190476190474,51.98412698412698,2,0.700712373672101,0.06195913461538462,0.1575113974444968,0.6632188267915925,4,2,./models/hover_track_v5/checkpoints/model_250000_steps.zip,recovery
283,True,16.151261362107626,34.98233215547703,55.830388692579504,35.3356890459364,1,0.952025072441783,0.07890427714646464,0.047003608104502055,0.9553895267974204,2,3,./models/hover_track_v5/checkpoints/model_250000_steps.zip,recovery
386,True,1025.7570591812332,86.78756476683938,4.922279792746114,87.04663212435233,1,0.47367748616929106,0.1560634328358209,0.0870004623547777,0.3227558643958869,2,4,./models/hover_track_v5/checkpoints/model_250000_steps.zip,recovery
818,True,1331.395997793739,83.2518337408313,7.946210268948655,83.49633251833741,2,0.6553916542554863,0.05569130873715125,0.09456862474368792,0.731205485117318,4,5,./models/hover_track_v5/checkpoints/model_250000_steps.zip,recovery
