episode,step,drone_x,drone_y,drone_z,target_x,target_y,target_z,centroid_x,centroid_y,fraction,visible,r_stability,r_centering,r_scale,reward,action_mag,controller_state
1,1,-0.05,0.179,0.091,-0.05,0.18,-1.302,0.062,-0.203,0.2744,1.0,0.973,1.747,0.921,3.641,0.656,track
1,2,-0.049,0.178,0.091,-0.05,0.18,-1.302,0.047,-0.158,0.2764,1.0,0.907,1.843,0.908,3.658,0.868,track
1,3,-0.049,0.178,0.09,-0.05,0.18,-1.302,0.018,-0.1,0.2783,1.0,0.921,1.939,0.895,3.754,0.39,track
1,4,-0.049,0.177,0.089,-0.05,0.18,-1.302,-0.003,-0.044,0.2754,1.0,0.929,1.988,0.914,3.832,0.467,track
1,5,-0.048,0.177,0.088,-0.05,0.18,-1.302,-0.031,0.0,0.2812,1.0,0.939,1.994,0.873,3.807,0.603,track
1,6,-0.048,0.176,0.086,-0.05,0.18,-1.302,-0.061,0.043,0.2744,1.0,0.947,1.967,0.921,3.835,0.657,track
1,7,-0.048,0.176,0.085,-0.05,0.18,-1.302,-0.083,0.084,0.2842,1.0,0.955,1.918,0.85,3.723,0.684,track
1,8,-0.048,0.175,0.083,-0.05,0.18,-1.302,-0.105,0.114,0.2832,1.0,0.962,1.861,0.858,3.681,0.697,track
1,9,-0.047,0.174,0.082,-0.05,0.18,-1.302,-0.127,0.14,0.2773,1.0,0.969,1.797,0.901,3.668,0.672,track
1,10,-0.047,0.174,0.08,-0.05,0.18,-1.302,-0.141,0.164,0.2852,1.0,0.974,1.739,0.842,3.555,0.66,track
1,11,-0.047,0.173,0.078,-0.05,0.18,-1.302,-0.156,0.179,0.2861,1.0,0.976,1.689,0.834,3.499,0.629,track
1,12,-0.047,0.172,0.077,-0.05,0.18,-1.302,-0.167,0.178,0.2852,1.0,0.976,1.674,0.842,3.492,0.572,track
1,13,-0.046,0.171,0.075,-0.05,0.18,-1.302,-0.181,0.189,0.2842,1.0,0.975,1.627,0.85,3.453,0.485,track
1,14,-0.046,0.171,0.073,-0.05,0.18,-1.302,-0.188,0.192,0.2842,1.0,0.975,1.609,0.85,3.434,0.412,track
1,15,-0.046,0.17,0.071,-0.05,0.18,-1.302,-0.2,0.201,0.2891,1.0,0.974,1.57,0.809,3.353,0.355,track
1,16,-0.046,0.169,0.069,-0.05,0.18,-1.302,-0.205,0.203,0.29,1.0,0.973,1.558,0.8,3.331,0.279,track
1,17,-0.046,0.167,0.067,-0.05,0.18,-1.302,-0.208,0.208,0.292,1.0,0.972,1.544,0.783,3.298,0.233,track
1,18,-0.046,0.166,0.065,-0.05,0.18,-1.302,-0.211,0.21,0.293,1.0,0.971,1.532,0.774,3.277,0.197,track
1,19,-0.047,0.165,0.064,-0.05,0.18,-1.302,-0.211,0.21,0.293,1.0,0.971,1.532,0.774,3.276,0.166,track
1,20,-0.047,0.164,0.062,-0.05,0.18,-1.302,-0.214,0.21,0.2949,1.0,0.97,1.528,0.756,3.254,0.166,track
1,21,-0.047,0.162,0.061,-0.05,0.18,-1.302,-0.212,0.206,0.2949,1.0,0.97,1.538,0.756,3.264,0.138,track
1,22,-0.048,0.161,0.059,-0.05,0.18,-1.302,-0.209,0.204,0.2949,1.0,0.97,1.548,0.756,3.274,0.133,track
1,23,-0.048,0.159,0.058,-0.05,0.18,-1.302,-0.208,0.202,0.2939,1.0,0.969,1.554,0.765,3.288,0.115,track
1,24,-0.049,0.158,0.057,-0.05,0.18,-1.302,-0.204,0.197,0.2959,1.0,0.969,1.57,0.746,3.285,0.099,track
1,25,-0.049,0.156,0.055,-0.05,0.18,-1.302,-0.204,0.193,0.2959,1.0,0.97,1.578,0.746,3.294,0.093,track
1,26,-0.05,0.154,0.054,-0.05,0.18,-1.302,-0.197,0.183,0.2998,1.0,0.969,1.611,0.709,3.289,0.09,track
1,27,-0.05,0.153,0.052,-0.05,0.18,-1.302,-0.188,0.17,0.2988,1.0,0.97,1.65,0.718,3.339,0.119,track
1,28,-0.051,0.151,0.051,-0.05,0.18,-1.302,-0.178,0.167,0.2969,1.0,0.97,1.671,0.737,3.378,0.113,track
1,29,-0.052,0.149,0.049,-0.05,0.18,-1.302,-0.174,0.161,0.2969,1.0,0.97,1.689,0.737,3.396,0.156,track
1,30,-0.052,0.147,0.048,-0.05,0.18,-1.302,-0.167,0.149,0.2988,1.0,0.97,1.722,0.718,3.41,0.144,track
1,31,-0.053,0.145,0.046,-0.05,0.18,-1.302,-0.159,0.144,0.3018,1.0,0.97,1.742,0.689,3.402,0.164,track
1,32,-0.054,0.142,0.045,-0.05,0.18,-1.302,-0.155,0.127,0.2988,1.0,0.972,1.772,0.718,3.462,0.129,track
1,33,-0.055,0.14,0.043,-0.05,0.18,-1.302,-0.148,0.105,0.3027,1.0,0.971,1.811,0.68,3.462,0.11,track
1,34,-0.056,0.138,0.042,-0.05,0.18,-1.302,-0.144,0.099,0.2998,1.0,0.973,1.824,0.709,3.505,0.077,track
1,35,-0.057,0.135,0.041,-0.05,0.18,-1.302,-0.134,0.083,0.2979,1.0,0.972,1.855,0.728,3.555,0.115,track
1,36,-0.058,0.133,0.039,-0.05,0.18,-1.302,-0.121,0.068,0.2998,1.0,0.974,1.888,0.709,3.57,0.099,track
1,37,-0.059,0.13,0.038,-0.05,0.18,-1.302,-0.108,0.055,0.2949,1.0,0.973,1.913,0.756,3.642,0.103,track
1,38,-0.06,0.128,0.037,-0.05,0.18,-1.302,-0.098,0.038,0.2959,1.0,0.975,1.935,0.746,3.656,0.076,track
1,39,-0.061,0.125,0.036,-0.05,0.18,-1.302,-0.091,0.025,0.2969,1.0,0.975,1.948,0.737,3.659,0.057,track
1,40,-0.062,0.122,0.035,-0.05,0.18,-1.302,-0.078,0.004,0.2959,1.0,0.976,1.963,0.746,3.686,0.045,track
1,41,-0.064,0.12,0.034,-0.05,0.18,-1.302,-0.063,-0.012,0.2949,1.0,0.976,1.975,0.756,3.707,0.05,track
1,42,-0.065,0.117,0.033,-0.05,0.18,-1.302,-0.051,-0.031,0.2949,1.0,0.976,1.979,0.756,3.711,0.056,track
1,43,-0.066,0.114,0.032,-0.05,0.18,-1.302,-0.041,-0.052,0.292,1.0,0.977,1.974,0.783,3.734,0.074,track
1,44,-0.067,0.111,0.031,-0.05,0.18,-1.302,-0.028,-0.084,0.292,1.0,0.977,1.954,0.783,3.713,0.079,track
1,45,-0.069,0.108,0.031,-0.05,0.18,-1.302,-0.014,-0.095,0.29,1.0,0.976,1.945,0.8,3.722,0.131,track
1,46,-0.07,0.105,0.03,-0.05,0.18,-1.302,0.005,-0.116,0.292,1.0,0.978,1.921,0.783,3.682,0.171,track
1,47,-0.071,0.102,0.029,-0.05,0.18,-1.302,0.027,-0.146,0.2832,1.0,0.978,1.872,0.858,3.709,0.182,track
1,48,-0.072,0.099,0.028,-0.05,0.18,-1.302,0.036,-0.154,0.2861,1.0,0.981,1.855,0.834,3.669,0.211,track
1,49,-0.074,0.096,0.028,-0.05,0.18,-1.302,0.052,-0.181,0.2842,1.0,0.982,1.799,0.85,3.631,0.203,track
1,50,-0.075,0.093,0.027,-0.05,0.18,-1.302,0.072,-0.204,0.2842,1.0,0.981,1.738,0.85,3.57,0.226,track
1,51,-0.076,0.089,0.026,-0.05,0.18,-1.302,0.09,-0.215,0.2803,1.0,0.981,1.699,0.88,3.56,0.28,track
1,52,-0.077,0.086,0.026,-0.05,0.18,-1.302,0.103,-0.243,0.2754,1.0,0.982,1.622,0.914,3.518,0.277,track
1,53,-0.079,0.083,0.026,-0.05,0.18,-1.302,0.125,-0.263,0.2842,1.0,0.982,1.551,0.85,3.383,0.324,track
1,54,-0.08,0.08,0.025,-0.05,0.18,-1.302,0.142,-0.281,0.2764,1.0,0.982,1.486,0.908,3.376,0.409,track
1,55,-0.081,0.077,0.025,-0.05,0.18,-1.302,0.157,-0.306,0.2705,1.0,0.985,1.401,0.943,3.329,0.379,track
1,56,-0.082,0.074,0.025,-0.05,0.18,-1.302,0.169,-0.317,0.2656,1.0,0.985,1.359,0.967,3.311,0.382,track
1,57,-0.083,0.07,0.025,-0.05,0.18,-1.302,0.189,-0.334,0.2617,1.0,0.988,1.287,0.981,3.256,0.374,track
1,58,-0.085,0.067,0.026,-0.05,0.18,-1.302,0.199,-0.334,0.2598,1.0,0.988,1.272,0.987,3.247,0.293,track
1,59,-0.086,0.064,0.026,-0.05,0.18,-1.302,0.209,-0.356,0.2529,1.0,0.989,1.199,0.999,3.187,0.365,track
1,60,-0.087,0.061,0.027,-0.05,0.18,-1.302,0.216,-0.36,0.2539,1.0,0.99,1.178,0.998,3.165,0.294,track
1,61,-0.088,0.058,0.028,-0.05,0.18,-1.302,0.229,-0.36,0.2549,1.0,0.99,1.157,0.997,3.143,0.32,track
1,62,-0.089,0.055,0.029,-0.05,0.18,-1.302,0.239,-0.374,0.2559,1.0,0.99,1.108,0.995,3.093,0.207,track
1,63,-0.09,0.052,0.03,-0.05,0.18,-1.302,0.248,-0.384,0.2539,1.0,0.99,1.068,0.998,3.057,0.216,track
1,64,-0.09,0.049,0.032,-0.05,0.18,-1.302,0.262,-0.396,0.2559,1.0,0.991,1.016,0.995,3.002,0.197,track
1,65,-0.091,0.046,0.033,-0.05,0.18,-1.302,0.263,-0.4,0.2529,1.0,0.99,1.005,0.999,2.994,0.208,track
1,66,-0.092,0.043,0.035,-0.05,0.18,-1.302,0.267,-0.413,0.2549,1.0,0.99,0.968,0.997,2.955,0.25,track
1,67,-0.093,0.04,0.037,-0.05,0.18,-1.302,0.276,-0.43,0.249,1.0,0.99,0.915,1.0,2.905,0.231,track
1,68,-0.094,0.038,0.039,-0.05,0.18,-1.302,0.278,-0.435,0.25,1.0,0.991,0.898,1.0,2.889,0.282,track
1,69,-0.094,0.035,0.041,-0.05,0.18,-1.302,0.285,-0.442,0.2568,1.0,0.991,0.871,0.994,2.856,0.197,track
1,70,-0.095,0.032,0.044,-0.05,0.18,-1.302,0.292,-0.446,0.2598,1.0,0.991,0.852,0.987,2.83,0.158,track
1,71,-0.095,0.029,0.046,-0.05,0.18,-1.302,0.3,-0.451,0.2656,1.0,0.991,0.829,0.967,2.786,0.144,track
1,72,-0.096,0.027,0.049,-0.05,0.18,-1.302,0.31,-0.46,0.2656,1.0,0.991,0.794,0.967,2.751,0.158,track
1,73,-0.096,0.024,0.052,-0.05,0.18,-1.302,0.315,-0.465,0.2676,1.0,0.991,0.777,0.958,2.726,0.158,track
