tier,episode,steps,terminated_early,target_offset,init_vel_range,init_ang_range,total_reward,mean_reward,std_reward,visibility_pct,mean_centering_dist,std_centering_dist,mean_fraction,std_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale
easy,1,2000,False,0.2,0.1,0.05,3836.03,1.918,0.5862,100.0,0.7492,0.2139,0.09579,0.04417,0.0751,0.0417,0.9944,0.4703,0.4533
easy,2,2000,False,0.2,0.1,0.05,3262.99,1.6315,0.49,100.0,0.8323,0.1647,0.06577,0.03617,0.0337,0.0264,0.9985,0.312,0.321
easy,3,2000,False,0.2,0.1,0.05,3388.7,1.6943,0.5015,100.0,0.842,0.1806,0.08384,0.03509,0.0427,0.0293,0.9971,0.3048,0.3924
easy,4,2000,False,0.2,0.1,0.05,5570.88,2.7854,0.3213,100.0,0.4955,0.1217,0.17413,0.01426,0.0671,0.0272,0.9956,0.9746,0.8152
easy,5,666,True,0.2,0.1,0.05,1398.36,2.0996,0.8927,100.0,0.6334,0.2758,0.10134,0.05908,0.184,0.1393,0.8942,0.7317,0.4887
easy,6,2000,False,0.2,0.1,0.05,6089.02,3.0445,0.362,100.0,0.4212,0.1389,0.18843,0.01469,0.073,0.0421,0.9951,1.1778,0.8716
easy,7,2000,False,0.2,0.1,0.05,6138.41,3.0692,0.37,100.0,0.4313,0.1343,0.20524,0.01754,0.0535,0.0279,0.9959,1.1492,0.9241
easy,8,2000,False,0.2,0.1,0.05,3770.75,1.8854,0.7276,97.3,0.7238,0.2458,0.08372,0.04966,0.0825,0.043,0.9933,0.5251,0.394
easy,9,2000,False,0.2,0.1,0.05,5014.18,2.5071,0.6243,100.0,0.4953,0.2295,0.10595,0.02528,0.0423,0.0352,0.9976,1.0202,0.4893
easy,10,790,True,0.2,0.1,0.05,1964.04,2.4861,0.782,100.0,0.4613,0.1978,0.10631,0.04637,0.1036,0.0382,0.9143,1.0848,0.4997
easy,11,595,True,0.2,0.1,0.05,1539.33,2.5871,0.9078,100.0,0.4243,0.1957,0.11536,0.05894,0.1128,0.0493,0.8987,1.1605,0.5447
easy,12,642,True,0.2,0.1,0.05,1565.2,2.438,0.8841,100.0,0.4432,0.2624,0.09543,0.04825,0.1625,0.1126,0.8837,1.1171,0.4528
easy,13,1633,True,0.2,0.1,0.05,3178.34,1.9463,0.6084,100.0,0.6879,0.2437,0.08079,0.04021,0.1269,0.045,0.9731,0.595,0.3844
easy,14,1950,True,0.2,0.1,0.05,3368.23,1.7273,0.6041,99.3,0.7471,0.2178,0.06437,0.04061,0.1017,0.0668,0.9535,0.4682,0.3179
easy,15,1020,True,0.2,0.1,0.05,2002.23,1.963,0.7666,100.0,0.6684,0.2391,0.0861,0.04681,0.1926,0.2491,0.9336,0.6291,0.4101
easy,16,2000,False,0.2,0.1,0.05,3986.33,1.9932,0.4415,100.0,0.7369,0.1635,0.11969,0.02535,0.0837,0.0267,0.9961,0.4412,0.5559
easy,17,2000,False,0.2,0.1,0.05,4442.91,2.2215,0.8932,95.8,0.5485,0.3344,0.07778,0.05523,0.1344,0.1583,0.9922,0.9107,0.361
easy,18,673,True,0.2,0.1,0.05,1813.73,2.695,0.9082,100.0,0.4142,0.2161,0.13049,0.06013,0.1682,0.1651,0.8955,1.2011,0.6132
easy,19,623,True,0.2,0.1,0.05,1517.15,2.4352,0.8541,100.0,0.4719,0.2054,0.10641,0.05505,0.1246,0.0486,0.8955,1.0551,0.5007
easy,20,2000,False,0.2,0.1,0.05,4821.46,2.4107,0.3064,100.0,0.5518,0.1139,0.12759,0.03291,0.0748,0.0548,0.998,0.8242,0.5885
easy,21,2000,False,0.2,0.1,0.05,3693.06,1.8465,0.5631,100.0,0.7323,0.2261,0.07013,0.03467,0.0525,0.0375,0.9966,0.5107,0.3392
easy,22,2000,False,0.2,0.1,0.05,4635.15,2.3176,0.4465,100.0,0.5255,0.1575,0.08788,0.02953,0.0653,0.0534,0.9977,0.915,0.4049
easy,23,815,True,0.2,0.1,0.05,1932.73,2.3714,0.8428,100.0,0.5086,0.224,0.11045,0.05359,0.1333,0.0727,0.9083,0.9583,0.5171
easy,24,2000,False,0.2,0.1,0.05,3841.18,1.9206,0.5903,100.0,0.7573,0.1835,0.1062,0.04893,0.0624,0.0327,0.9967,0.4356,0.4882
easy,25,2000,False,0.2,0.1,0.05,3864.68,1.9323,0.782,92.6,0.6766,0.2077,0.10688,0.04355,0.1355,0.0534,0.988,0.554,0.4644
easy,26,2000,False,0.2,0.1,0.05,5253.96,2.627,0.57,100.0,0.5282,0.1961,0.15009,0.03393,0.0648,0.0308,0.9957,0.9285,0.7028
easy,27,617,True,0.2,0.1,0.05,1692.68,2.7434,0.8978,100.0,0.4048,0.1826,0.13853,0.0636,0.1335,0.083,0.8884,1.2227,0.6485
easy,28,2000,False,0.2,0.1,0.05,3987.04,1.9935,0.6475,100.0,0.6841,0.2409,0.08572,0.03653,0.0488,0.0366,0.9955,0.5985,0.3994
easy,29,2000,False,0.2,0.1,0.05,6203.57,3.1018,0.2269,100.0,0.3935,0.0948,0.18159,0.01377,0.0528,0.0363,0.9977,1.258,0.846
easy,30,2000,False,0.2,0.1,0.05,3307.12,1.6536,0.5023,100.0,0.8614,0.199,0.07526,0.03163,0.0375,0.0229,0.9975,0.301,0.355
easy,31,2000,False,0.2,0.1,0.05,4342.23,2.1711,0.5933,100.0,0.6162,0.2063,0.10176,0.03614,0.0637,0.0485,0.996,0.7051,0.47
easy,32,2000,False,0.2,0.1,0.05,5146.65,2.5733,0.715,100.0,0.5612,0.233,0.15786,0.05446,0.0765,0.0303,0.9954,0.8616,0.7163
easy,33,2000,False,0.2,0.1,0.05,3959.59,1.9798,0.6775,100.0,0.7216,0.2554,0.09299,0.04508,0.058,0.0431,0.9936,0.5487,0.4375
