tier,episode,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
easy,1,2000,False,6102.79,100.0,0.3791,0.15844,0.2357,0.4497,0.9986,1.6954,0.7407,0.4969,-0.3804,100000
easy,2,1096,True,771.15,46.7,0.716,0.11203,0.3388,0.0868,0.8794,0.3609,0.2397,0.2729,-0.0574,100000
easy,3,2000,False,1472.28,26.9,0.4804,0.18952,0.1122,0.0227,0.9668,0.3612,0.2238,0.4074,-0.0077,100000
easy,4,1523,True,348.97,15.4,0.5319,0.14347,0.1211,0.0169,0.954,0.1553,0.0967,0.3589,-0.0039,100000
easy,5,2000,False,2916.88,66.1,0.658,0.10266,0.1514,0.0707,0.948,0.6521,0.317,0.3873,-0.0312,100000
easy,6,2000,False,5541.63,100.0,0.4759,0.15208,0.058,0.0478,0.9979,1.0798,0.7057,0.4932,-0.0067,100000
easy,7,2000,False,5772.34,100.0,0.4485,0.14682,0.043,0.0462,0.9991,1.2314,0.6752,0.4945,-0.0148,100000
easy,8,2000,False,2791.9,47.5,0.5137,0.16626,0.1396,0.0658,0.9745,0.7134,0.3454,0.4117,-0.0347,100000
easy,9,1567,True,527.02,17.9,0.5339,0.12929,0.1349,0.0251,0.9457,0.2152,0.1023,0.3857,-0.0093,100000
easy,10,927,True,1949.66,99.1,0.6399,0.15439,0.1511,0.0455,0.9686,0.547,0.6946,0.441,-0.01,100000
medium,11,334,True,122.94,68.3,0.9749,0.07372,0.3972,0.0654,0.7643,0.0151,0.2428,0.1221,-0.0306,100000
medium,12,784,True,1699.58,92.3,0.5733,0.09509,0.1963,0.1009,0.947,1.0425,0.4185,0.3942,-0.0615,100000
medium,13,2000,False,3991.06,98.2,0.611,0.10362,0.1717,0.2266,0.9914,0.8421,0.4687,0.4186,-0.212,100000
medium,14,1818,True,1554.51,59.1,0.6542,0.0811,0.2099,0.1862,0.9426,0.466,0.23,0.3317,-0.2249,100000
medium,15,2000,False,1495.36,47.9,0.727,0.116,0.1376,0.0249,0.9433,0.1662,0.257,0.3839,-0.004,100000
medium,16,2000,False,1872.38,43.0,0.6113,0.10353,0.1222,0.0394,0.9743,0.4179,0.2103,0.4167,-0.022,100000
medium,17,478,True,996.29,88.1,0.595,0.16393,0.2849,0.0573,0.8486,0.9022,0.6185,0.3411,-0.0203,100000
medium,18,2000,False,9109.18,100.0,0.2131,0.10678,0.0375,0.0184,0.9968,3.0848,0.4933,0.4837,-0.0025,100000
medium,19,2000,False,5582.46,100.0,0.5092,0.18207,0.0713,0.0393,0.9905,1.0095,0.8207,0.4814,-0.0058,100000
medium,20,1599,True,-231.0,7.1,1.0146,0.04143,0.1539,0.026,0.905,0.001,0.0163,0.3398,-0.0178,100000
hard,21,1639,True,445.52,22.9,0.7023,0.106,0.1182,0.025,0.9569,0.0872,0.1121,0.3861,-0.0142,100000
hard,22,1374,True,-95.46,6.1,0.9298,0.09762,0.1092,0.0149,0.946,0.0024,0.029,0.38,-0.005,100000
hard,23,1258,True,-3.21,14.5,1.0746,0.03691,0.1342,0.0355,0.971,0.0016,0.0319,0.3804,-0.0368,100000
hard,24,1383,True,-173.09,3.5,1.1677,0.01178,0.1047,0.0285,0.9503,0.0002,0.0051,0.3892,-0.0214,100000
hard,25,2000,False,5687.05,97.3,0.4288,0.11607,0.0849,0.07,0.9938,1.3919,0.5173,0.4794,-0.0155,100000
hard,26,496,True,485.33,83.5,0.8414,0.10088,0.2934,0.0816,0.8957,0.1526,0.4065,0.2971,-0.0498,100000
