tier,episode,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,checkpoint
easy,1,1000,False,3787.93,100.0,0.3599,0.21095,0.0688,0.0775,0.9963,1.868,0.9185,750000
easy,2,1000,False,2923.46,100.0,0.4838,0.25326,0.078,0.0452,0.9957,1.0543,0.8661,750000
easy,3,1000,False,3432.45,100.0,0.4163,0.23212,0.1711,0.0768,0.9746,1.4918,0.9507,750000
easy,4,1000,False,2858.85,100.0,0.4898,0.19479,0.102,0.0628,0.996,0.9782,0.8793,750000
easy,5,1000,False,4980.56,100.0,0.2074,0.20842,0.0501,0.0614,0.9975,3.1164,0.8627,750000
medium,6,1000,False,2027.66,97.4,0.5756,0.09318,0.0741,0.0673,0.9895,0.6427,0.4168,750000
medium,7,1000,False,2551.39,99.6,0.4944,0.1092,0.0464,0.0432,0.9958,1.072,0.4825,750000
medium,8,1000,False,3050.84,99.5,0.4762,0.1765,0.1789,0.074,0.9802,1.2836,0.7761,750000
medium,9,1000,False,2720.0,98.9,0.5258,0.15683,0.0614,0.0351,0.9972,1.0429,0.6867,750000
medium,10,724,True,1149.49,67.4,0.615,0.13468,0.2664,0.068,0.7939,0.7289,0.3977,750000
hard,11,959,True,126.76,24.6,0.8788,0.10429,0.4056,0.1234,0.7021,0.069,0.1199,750000
hard,12,1000,False,3499.47,86.5,0.3745,0.20449,0.1435,0.0516,0.9837,1.9026,0.7384,750000
hard,13,889,True,-292.62,3.4,1.2002,0.02588,0.4356,0.0951,0.6416,0.0,0.0061,750000
hard,14,819,True,-219.61,6.5,1.1184,0.01052,0.435,0.1208,0.6669,0.0003,0.0089,750000
hard,15,378,True,19.69,25.9,1.0285,0.07128,0.5757,0.164,0.6592,0.0502,0.0941,750000
easy,1,1000,False,4989.89,100.0,0.1974,0.19441,0.1065,0.1087,0.9973,3.1094,0.8764,800000
easy,2,1000,False,4340.06,100.0,0.2624,0.1491,0.0983,0.0423,0.9928,2.6411,0.6969,800000
easy,3,1000,False,4668.07,100.0,0.2507,0.2326,0.0619,0.0405,0.9976,2.7375,0.9292,800000
easy,4,1000,False,4936.2,100.0,0.1962,0.17497,0.1038,0.0593,0.9945,3.1135,0.8194,800000
easy,5,1000,False,2496.28,100.0,0.5097,0.13943,0.027,0.0175,0.9996,0.8511,0.6427,800000
