tier,episode,target_speed,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
slow,1,0.1,229,True,-99.73,5.2,1.0405,0.02783,0.287,0.0648,0.8795,0.008,0.0101,0.1639,-0.051,200000
slow,2,0.1,1504,True,-192.31,8.0,0.9734,0.06261,0.1584,0.0879,0.973,0.0016,0.0249,0.3634,-0.0762,200000
slow,3,0.1,256,True,-98.0,18.0,1.3168,0.00501,0.4153,0.1867,0.9018,0.0,0.0224,0.2192,-0.217,200000
slow,4,0.1,218,True,-101.09,0.0,0.0,0.0,0.2627,0.0302,0.8786,0.0,0.0,0.1527,-0.0098,200000
slow,5,0.1,226,True,-88.78,0.0,0.0,0.0,0.2126,0.0252,0.9202,0.0,0.0,0.1979,-0.0065,200000
medium,6,0.25,990,True,-777.18,0.0,0.0,0.0,0.3131,0.4701,0.9812,0.0,0.0,0.3875,-0.6631,200000
medium,7,0.25,275,True,367.1,93.1,0.9028,0.0975,0.2546,0.0881,0.9278,0.2394,0.4073,0.3791,-0.0439,200000
medium,8,0.25,459,True,308.4,44.2,0.7765,0.1519,0.1678,0.0564,0.9442,0.1913,0.2599,0.3582,-0.0211,200000
medium,9,0.25,2000,False,457.41,33.6,0.9659,0.07535,0.2017,0.148,0.9733,0.0664,0.1221,0.3817,-0.1633,200000
medium,10,0.25,212,True,-93.58,2.4,1.011,0.03906,0.2602,0.0385,0.8688,0.0003,0.0052,0.1585,-0.0107,200000
fast,11,0.4,1507,True,-11.02,13.4,1.0884,0.04136,0.1468,0.0641,0.9692,0.0021,0.0319,0.4004,-0.0532,200000
fast,12,0.4,548,True,-13.01,14.6,1.0338,0.04581,0.1893,0.0322,0.9625,0.0012,0.0359,0.344,-0.0135,200000
fast,13,0.4,205,True,-77.55,6.3,1.0193,0.03831,0.259,0.0411,0.8862,0.0161,0.0139,0.172,-0.0162,200000
fast,14,0.4,695,True,-145.46,0.0,0.0,0.0,0.1907,0.0171,0.954,0.0,0.0,0.3321,-0.004,200000
fast,15,0.4,207,True,-89.04,8.2,0.8799,0.08686,0.2916,0.0422,0.8979,0.0271,0.0339,0.09,-0.0277,200000
slow,1,0.1,113,True,-42.82,1.8,1.2824,0.00293,0.338,0.073,0.8645,0.0,0.0021,0.3096,-0.052,300000
slow,2,0.1,201,True,-56.0,0.0,0.0,0.0,0.1803,0.029,0.9309,0.0,0.0,0.3126,-0.0069,300000
slow,3,0.1,80,True,66.01,100.0,1.196,0.02771,0.333,0.0673,0.8512,0.0367,0.2034,0.4065,-0.0289,300000
slow,4,0.1,314,True,-73.26,1.0,1.2015,0.0179,0.2175,0.0327,0.9372,0.0,0.0015,0.3268,-0.0064,300000
slow,5,0.1,85,True,-33.61,0.0,0.0,0.0,0.3765,0.0647,0.7599,0.0,0.0,0.367,-0.0247,300000
medium,6,0.25,19,True,-19.69,0.0,0.0,0.0,0.7157,0.0938,0.4813,0.0,0.0,0.2803,-0.031,300000
medium,7,0.25,539,True,628.88,97.6,0.7728,0.15916,0.3229,0.4657,0.9593,0.2921,0.6622,0.2847,-0.4926,300000
medium,8,0.25,313,True,480.83,94.2,0.7911,0.15326,0.2866,0.094,0.9373,0.2826,0.6259,0.301,-0.0337,300000
medium,9,0.25,243,True,-73.4,0.0,0.0,0.0,0.2189,0.0349,0.915,0.0,0.0,0.287,-0.0055,300000
medium,10,0.25,224,True,-67.73,0.0,0.0,0.0,0.2552,0.0382,0.9166,0.0,0.0,0.2929,-0.0089,300000
fast,11,0.4,94,True,-23.21,0.0,0.0,0.0,0.2498,0.0444,0.8614,0.0,0.0,0.4477,-0.0189,300000
fast,12,0.4,24,True,-2.2,70.8,0.9157,0.04975,0.5143,0.1172,0.5516,0.0196,0.189,0.2592,-0.095,300000
fast,13,0.4,28,True,-16.69,39.3,1.1968,0.0237,0.7153,0.1934,0.5405,0.0007,0.0694,0.3002,-0.2652,300000
fast,14,0.4,257,True,-71.16,0.0,0.0,0.0,0.1552,0.0241,0.9354,0.0,0.0,0.3061,-0.0118,300000
fast,15,0.4,33,True,11.84,100.0,1.0501,0.06504,0.6163,0.1279,0.6579,0.0383,0.3269,0.2022,-0.119,300000
slow,1,0.1,345,True,-74.93,0.0,0.0,0.0,0.1225,0.0172,0.9656,0.0,0.0,0.3329,-0.0039,400000
slow,2,0.1,16,True,-18.04,0.0,0.0,0.0,0.7583,0.0908,0.4527,0.0,0.0,0.4013,-0.1302,400000
slow,3,0.1,26,True,-19.41,15.4,1.2698,0.00586,0.5886,0.229,0.5766,0.0001,0.0194,0.3926,-0.2144,400000
slow,4,0.1,746,True,-136.53,0.5,1.1549,0.02271,0.1123,0.0971,0.9737,0.0,0.0009,0.4137,-0.0755,400000
slow,5,0.1,16,True,-19.04,0.0,0.0,0.0,0.7117,0.0895,0.4389,0.0,0.0,0.3146,-0.0991,400000
medium,6,0.25,15,True,-14.45,26.7,1.091,0.01416,0.7344,0.0902,0.4082,0.0022,0.0387,0.3353,-0.1059,400000
medium,7,0.25,320,True,509.24,98.1,0.7388,0.16983,0.3092,0.27,0.9455,0.4849,0.6738,0.3278,-0.2646,400000
medium,8,0.25,248,True,445.15,94.8,0.7881,0.16321,0.282,0.0777,0.9324,0.4607,0.6364,0.3792,-0.0324,400000
medium,9,0.25,357,True,435.91,76.5,0.7726,0.17764,0.2166,0.0864,0.953,0.199,0.5838,0.2833,-0.0515,400000
medium,10,0.25,19,True,-19.22,0.0,0.0,0.0,0.6255,0.1269,0.4698,0.0,0.0,0.3912,-0.1112,400000
fast,11,0.4,18,True,-17.82,0.0,0.0,0.0,0.7292,0.1073,0.441,0.0,0.0,0.4499,-0.105,400000
fast,12,0.4,16,True,0.64,100.0,0.8596,0.09552,0.7516,0.1192,0.4817,0.07,0.4428,0.2962,-0.1287,400000
fast,13,0.4,16,True,-9.77,56.2,1.0712,0.0548,0.7238,0.0853,0.2951,0.0025,0.1547,0.3043,-0.0912,400000
fast,14,0.4,17,True,-15.71,35.3,1.0326,0.04801,0.7396,0.1343,0.4415,0.0087,0.0879,0.2533,-0.172,400000
fast,15,0.4,283,True,-82.14,2.8,0.9203,0.13818,0.1599,0.0264,0.9321,0.0029,0.0174,0.2506,-0.0145,400000
slow,1,0.1,23,True,-18.09,0.0,0.0,0.0,0.6491,0.0941,0.6538,0.0,0.0,0.4483,-0.127,500000
slow,2,0.1,18,True,-17.07,0.0,0.0,0.0,0.7117,0.0933,0.5532,0.0,0.0,0.4804,-0.15,500000
slow,3,0.1,17,True,-10.03,35.3,1.2809,0.00879,0.6551,0.1226,0.4964,0.0001,0.0469,0.4608,-0.1091,500000
slow,4,0.1,24,True,-18.87,0.0,0.0,0.0,0.6794,0.0791,0.6383,0.0,0.0,0.4171,-0.1059,500000
slow,5,0.1,16,True,-17.19,0.0,0.0,0.0,0.689,0.0976,0.4945,0.0,0.0,0.4532,-0.1495,500000
medium,6,0.25,15,True,-14.74,20.0,1.1833,0.01335,0.7268,0.1135,0.4406,0.0005,0.0288,0.4172,-0.1556,500000
medium,7,0.25,290,True,605.71,96.2,0.6719,0.1819,0.3047,0.1665,0.9347,0.8058,0.6577,0.429,-0.1734,500000
medium,8,0.25,168,True,395.18,99.4,0.6357,0.20812,0.2374,0.0914,0.923,0.8475,0.7989,0.4121,-0.0397,500000
medium,9,0.25,35,True,-20.74,0.0,0.0,0.0,0.5003,0.0862,0.7267,0.0,0.0,0.4062,-0.0765,500000
medium,10,0.25,19,True,-16.93,0.0,0.0,0.0,0.6904,0.1028,0.5559,0.0,0.0,0.4674,-0.1101,500000
fast,11,0.4,15,True,-16.67,0.0,0.0,0.0,0.7261,0.1043,0.4558,0.0,0.0,0.4697,-0.1424,500000
fast,12,0.4,14,True,-1.02,100.0,0.8313,0.11265,0.7307,0.1043,0.4142,0.128,0.5321,0.2355,-0.1352,500000
fast,13,0.4,13,True,-2.51,100.0,0.947,0.07279,0.8172,0.0855,0.3941,0.0244,0.3437,0.3698,-0.156,500000
fast,14,0.4,14,True,-14.51,28.6,1.0525,0.05151,0.7596,0.1039,0.4254,0.0043,0.074,0.3364,-0.1629,500000
fast,15,0.4,21,True,-10.27,47.6,0.9222,0.13213,0.7699,0.1501,0.4464,0.0428,0.2836,0.2118,-0.1759,500000
slow,1,0.1,25,True,-17.66,0.0,0.0,0.0,0.5571,0.1085,0.6303,0.0,0.0,0.4726,-0.0942,750000
