tier,episode,target_speed,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
slow,1,0.1,555,True,-297.73,1.1,1.1101,0.01562,0.3228,0.0329,0.7459,0.0001,0.0016,0.1059,-0.0087,50000
slow,2,0.1,527,True,-278.72,0.0,0.0,0.0,0.2957,0.0282,0.838,0.0,0.0,0.0793,-0.0082,50000
slow,3,0.1,264,True,-61.6,26.1,1.2653,0.01179,0.3901,0.0466,0.7863,0.0001,0.0366,0.1356,-0.0219,50000
slow,4,0.1,533,True,-260.84,4.3,1.1665,0.03872,0.3149,0.0343,0.7541,0.0001,0.0096,0.114,-0.0125,50000
slow,5,0.1,787,True,-399.91,0.0,0.0,0.0,0.298,0.0328,0.8465,0.0,0.0,0.0912,-0.0099,50000
medium,6,0.25,532,True,-274.83,0.0,0.0,0.0,0.3004,0.0253,0.8197,0.0,0.0,0.0975,-0.0051,50000
medium,7,0.25,417,True,214.12,60.9,0.8904,0.11176,0.3034,0.0841,0.7894,0.0559,0.3155,0.2538,-0.0649,50000
medium,8,0.25,372,True,24.06,28.2,0.6907,0.15514,0.3119,0.0723,0.8323,0.1198,0.191,0.1616,-0.0514,50000
medium,9,0.25,487,True,-176.45,17.0,1.0054,0.04499,0.3764,0.0614,0.7708,0.0019,0.0421,0.1001,-0.0389,50000
medium,10,0.25,572,True,-291.97,0.0,0.0,0.0,0.2875,0.033,0.8022,0.0,0.0,0.1123,-0.0063,50000
fast,11,0.4,577,True,-307.82,0.0,0.0,0.0,0.2696,0.0324,0.8097,0.0,0.0,0.0851,-0.0061,50000
fast,12,0.4,588,True,-283.24,2.0,1.0798,0.05208,0.2902,0.0322,0.837,0.0003,0.0057,0.1011,-0.0101,50000
fast,13,0.4,552,True,-274.31,2.2,1.0914,0.03076,0.284,0.0293,0.8029,0.0001,0.0043,0.1006,-0.007,50000
fast,14,0.4,521,True,-266.78,1.5,1.178,0.01965,0.2986,0.0329,0.8481,0.0,0.0025,0.0816,-0.0158,50000
fast,15,0.4,566,True,-267.7,2.8,1.0392,0.09326,0.2826,0.0309,0.8147,0.0017,0.0127,0.1056,-0.009,50000
slow,1,0.1,990,True,-51.96,0.0,0.0,0.0,0.0568,0.0053,0.9941,0.0,0.0,0.4527,-0.0023,150000
