tier,episode,target_speed,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
slow,1,0.1,990,True,-49.92,0.0,0.0,0.0,0.0548,0.0064,0.9877,0.0,0.0,0.4579,-0.0022,100000
slow,2,0.1,990,True,-67.58,0.0,0.0,0.0,0.0761,0.0073,0.9877,0.0,0.0,0.4398,-0.0019,100000
slow,3,0.1,3000,False,160.75,8.5,0.9423,0.09295,0.0914,0.0123,0.9807,0.0101,0.0363,0.4355,-0.0035,100000
slow,4,0.1,2172,True,-354.77,4.1,1.158,0.05183,0.1627,0.0412,0.9427,0.0007,0.0123,0.3431,-0.0277,100000
slow,5,0.1,990,True,-129.28,0.0,0.0,0.0,0.1281,0.0123,0.971,0.0,0.0,0.3864,-0.0025,100000
slow,6,0.1,3000,False,247.12,7.6,0.875,0.14185,0.0571,0.0085,0.9903,0.0078,0.049,0.46,-0.0033,100000
slow,7,0.1,422,True,-99.21,26.8,1.1101,0.01181,0.4044,0.1705,0.9403,0.0014,0.0378,0.2217,-0.2097,100000
slow,8,0.1,3000,False,317.6,14.4,0.8842,0.09811,0.1047,0.0568,0.9862,0.0245,0.0633,0.4417,-0.0576,100000
slow,9,0.1,552,True,-154.22,0.0,0.0,0.0,0.1531,0.0157,0.9335,0.0,0.0,0.276,-0.004,100000
slow,10,0.1,730,True,-145.77,0.0,0.0,0.0,0.1478,0.0493,0.9513,0.0,0.0,0.3634,-0.025,100000
medium,11,0.25,743,True,-155.69,0.0,0.0,0.0,0.129,0.0091,0.952,0.0,0.0,0.3294,-0.0014,100000
medium,12,0.25,3000,False,183.63,7.4,1.1532,0.04385,0.0515,0.0109,0.9909,0.0008,0.0191,0.4762,-0.0052,100000
medium,13,0.25,3000,False,126.6,11.0,1.023,0.08617,0.118,0.0628,0.9771,0.0074,0.0458,0.4438,-0.0525,100000
medium,14,0.25,353,True,166.24,47.9,0.9587,0.10988,0.2254,0.0415,0.9041,0.0197,0.252,0.3371,-0.0165,100000
medium,15,0.25,1304,True,-79.0,14.6,0.9592,0.08323,0.1803,0.0452,0.9465,0.0151,0.0578,0.2912,-0.0242,100000
medium,16,0.25,1113,True,109.89,26.6,0.8513,0.11584,0.226,0.0996,0.8897,0.0804,0.1379,0.2839,-0.0821,100000
medium,17,0.25,3000,False,318.6,11.5,1.0589,0.07674,0.0894,0.018,0.9826,0.0168,0.0431,0.4529,-0.0109,100000
medium,18,0.25,313,True,80.06,49.5,1.0908,0.04986,0.2378,0.0847,0.8831,0.0074,0.1343,0.2874,-0.0619,100000
medium,19,0.25,755,True,196.93,34.3,0.9039,0.11094,0.273,0.0808,0.8864,0.0795,0.1688,0.306,-0.0606,100000
medium,20,0.25,533,True,-181.48,8.6,1.0833,0.01773,0.2272,0.0308,0.8722,0.0007,0.0134,0.1554,-0.0134,100000
fast,21,0.4,557,True,26.16,22.1,0.7516,0.14885,0.2601,0.048,0.9054,0.1099,0.1422,0.1636,-0.0138,100000
fast,22,0.4,631,True,-101.03,15.8,0.8818,0.08863,0.305,0.0377,0.855,0.0279,0.0646,0.2002,-0.0159,100000
fast,23,0.4,926,True,-15.3,31.6,0.9334,0.09865,0.3517,0.1338,0.8568,0.0421,0.1493,0.2053,-0.1251,100000
fast,24,0.4,474,True,-158.4,0.0,0.0,0.0,0.1704,0.0164,0.9344,0.0,0.0,0.2254,-0.0057,100000
fast,25,0.4,994,True,-73.95,14.2,0.9975,0.0516,0.1748,0.0547,0.9648,0.0044,0.0409,0.3164,-0.0493,100000
fast,26,0.4,1474,True,-23.75,8.8,0.9449,0.09814,0.1466,0.0368,0.9757,0.0047,0.0422,0.3835,-0.0161,100000
fast,27,0.4,534,True,-75.27,22.5,0.9215,0.07083,0.3114,0.0518,0.8087,0.0207,0.0799,0.1812,-0.0259,100000
fast,28,0.4,567,True,-158.75,10.4,0.9459,0.07819,0.2228,0.0285,0.8826,0.0033,0.0401,0.1615,-0.0121,100000
fast,29,0.4,491,True,-146.63,9.0,1.024,0.02801,0.266,0.0424,0.8954,0.0008,0.0166,0.1947,-0.0277,100000
fast,30,0.4,1333,True,684.73,39.5,0.8914,0.12147,0.2211,0.0569,0.9511,0.1099,0.2039,0.3817,-0.0271,100000
slow,1,0.1,990,True,-51.96,0.0,0.0,0.0,0.0568,0.0053,0.9941,0.0,0.0,0.4527,-0.0023,150000
slow,2,0.1,1267,True,325.82,24.0,0.7538,0.15408,0.2276,0.0442,0.9186,0.139,0.1472,0.3051,-0.0224,150000
slow,3,0.1,647,True,-82.64,9.6,1.232,0.01633,0.1562,0.0172,0.9227,0.0,0.0144,0.3199,-0.0038,150000
slow,4,0.1,896,True,64.82,17.3,1.0228,0.09481,0.1258,0.0192,0.961,0.0018,0.0774,0.3596,-0.0058,150000
slow,5,0.1,830,True,-224.65,2.2,0.9987,0.02371,0.2223,0.0246,0.9001,0.0004,0.0037,0.2785,-0.0113,150000
slow,6,0.1,3000,False,1564.76,22.0,0.5877,0.21883,0.0857,0.0199,0.9863,0.2155,0.1855,0.42,-0.006,150000
slow,7,0.1,122,True,53.08,81.1,1.0384,0.05595,0.3879,0.0757,0.7548,0.0707,0.2322,0.1898,-0.0405,150000
slow,8,0.1,1568,True,367.09,21.0,0.7591,0.19177,0.1638,0.0256,0.9364,0.0831,0.1691,0.3351,-0.0089,150000
slow,9,0.1,1128,True,409.27,26.4,0.7613,0.15773,0.196,0.0545,0.9436,0.1518,0.165,0.3579,-0.0352,150000
slow,10,0.1,990,True,-36.43,0.0,0.0,0.0,0.0468,0.0047,0.9955,0.0,0.0,0.4672,-0.0018,150000
medium,11,0.25,2438,True,149.2,12.5,0.8657,0.11553,0.1326,0.0194,0.9702,0.0255,0.0664,0.3722,-0.0065,150000
medium,12,0.25,1620,True,20.46,13.8,1.0389,0.05136,0.1316,0.0378,0.9499,0.0021,0.0383,0.3949,-0.0302,150000
medium,13,0.25,906,True,164.06,19.4,0.7682,0.15669,0.2136,0.0485,0.919,0.1606,0.1194,0.2933,-0.0238,150000
medium,14,0.25,856,True,126.79,17.4,0.7692,0.1531,0.169,0.0413,0.943,0.0701,0.1136,0.3593,-0.0245,150000
medium,15,0.25,1556,True,-112.6,10.3,0.9442,0.11733,0.1802,0.0412,0.9409,0.0116,0.056,0.3248,-0.0304,150000
medium,16,0.25,1692,True,204.77,18.2,0.8165,0.10354,0.1727,0.0511,0.9349,0.0601,0.0841,0.3671,-0.0299,150000
medium,17,0.25,1344,True,-23.52,11.9,0.8133,0.14242,0.2008,0.0393,0.9279,0.0383,0.072,0.3261,-0.0247,150000
medium,18,0.25,1203,True,-14.99,12.9,0.8632,0.12873,0.2092,0.0324,0.9267,0.0375,0.0693,0.3147,-0.0132,150000
medium,19,0.25,1497,True,142.3,18.6,0.9072,0.12495,0.1903,0.029,0.9231,0.0259,0.1017,0.3377,-0.0099,150000
medium,20,0.25,2105,True,430.64,19.5,0.9045,0.10657,0.1448,0.0411,0.9595,0.0522,0.0937,0.4071,-0.0151,150000
fast,21,0.4,1931,True,143.38,15.7,0.8446,0.13563,0.1773,0.036,0.9461,0.0235,0.0936,0.3515,-0.0144,150000
fast,22,0.4,210,True,156.9,81.9,1.0447,0.06762,0.2057,0.0531,0.9043,0.0319,0.2739,0.2712,-0.0165,150000
fast,23,0.4,1470,True,32.94,18.8,1.0344,0.08187,0.215,0.0376,0.9296,0.0108,0.0775,0.3079,-0.0191,150000
fast,24,0.4,240,True,-118.47,0.0,0.0,0.0,0.4102,0.0477,0.7674,0.0,0.0,0.1819,-0.0176,150000
fast,25,0.4,616,True,-55.59,19.5,0.9759,0.0807,0.3078,0.046,0.8014,0.0097,0.0777,0.2692,-0.0214,150000
fast,26,0.4,1645,True,46.12,13.4,0.8694,0.13572,0.1783,0.0294,0.9422,0.0174,0.0822,0.3417,-0.0115,150000
fast,27,0.4,1367,True,110.47,18.4,0.8692,0.125,0.2062,0.0359,0.913,0.0432,0.1005,0.3214,-0.0169,150000
fast,28,0.4,3000,False,536.31,19.1,0.8706,0.12534,0.1519,0.0546,0.9778,0.0317,0.1072,0.3969,-0.0355,150000
fast,29,0.4,3000,False,831.15,22.8,0.8672,0.12796,0.1368,0.0562,0.9883,0.0359,0.1301,0.438,-0.0465,150000
fast,30,0.4,129,True,106.84,99.2,0.9828,0.06676,0.2757,0.0586,0.8727,0.0729,0.3198,0.2123,-0.0231,150000
slow,1,0.1,1214,True,90.59,18.4,1.0389,0.05125,0.1084,0.0423,0.9773,0.007,0.0483,0.3945,-0.0299,200000
slow,2,0.1,3000,False,-147.98,13.1,0.9058,0.09376,0.1713,0.0493,0.9597,0.0091,0.0579,0.3077,-0.0327,200000
slow,3,0.1,536,True,-228.34,9.9,1.2186,0.02202,0.4222,0.0366,0.8055,0.0001,0.0164,0.0802,-0.0056,200000
slow,4,0.1,990,True,-33.06,0.0,0.0,0.0,0.0476,0.0342,0.9956,0.0,0.0,0.4886,-0.0198,200000
slow,5,0.1,1057,True,76.9,16.0,1.0115,0.06242,0.101,0.0769,0.9789,0.0049,0.0491,0.4386,-0.0521,200000
