tier,episode,target_speed,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
slow,1,0.1,990,True,-56.83,0.0,0.0,0.0,0.0803,0.0111,0.99,0.0,0.0,0.4506,-0.003,50000
slow,2,0.1,428,True,-175.18,0.0,0.0,0.0,0.1601,0.0222,0.9571,0.0,0.0,0.1446,-0.0091,50000
slow,3,0.1,2000,False,-59.25,9.2,0.9666,0.05081,0.15,0.0305,0.9636,0.0023,0.024,0.3865,-0.014,50000
slow,4,0.1,990,True,-64.95,0.0,0.0,0.0,0.0851,0.0116,0.9889,0.0,0.0,0.4435,-0.0036,50000
slow,5,0.1,990,True,-43.01,0.0,0.0,0.0,0.095,0.0114,0.985,0.0,0.0,0.4673,-0.0033,50000
medium,6,0.25,387,True,-170.55,0.0,0.0,0.0,0.0963,0.0108,0.9769,0.0,0.0,0.103,-0.0063,50000
medium,7,0.25,478,True,318.9,77.4,0.9781,0.08885,0.2679,0.0606,0.7676,0.0928,0.3149,0.191,-0.0216,50000
medium,8,0.25,1511,True,606.77,32.4,0.8095,0.13137,0.2098,0.0542,0.9416,0.1291,0.1744,0.3486,-0.0219,50000
medium,9,0.25,1924,True,598.5,31.1,0.9302,0.09317,0.1674,0.0403,0.9578,0.0188,0.138,0.3902,-0.0174,50000
medium,10,0.25,1088,True,33.43,14.6,0.8537,0.15458,0.1389,0.0247,0.9705,0.0095,0.1066,0.3039,-0.0081,50000
fast,11,0.4,428,True,-179.26,0.0,0.0,0.0,0.1476,0.0222,0.9504,0.0,0.0,0.1369,-0.0076,50000
fast,12,0.4,75,True,37.9,96.0,1.0224,0.04437,0.483,0.0841,0.6739,0.0326,0.2327,0.2294,-0.0528,50000
fast,13,0.4,416,True,-136.74,8.2,1.1156,0.03961,0.1046,0.0429,0.9696,0.0002,0.018,0.1372,-0.0258,50000
fast,14,0.4,696,True,-76.89,13.2,1.0778,0.03651,0.1429,0.0256,0.9769,0.001,0.0283,0.2627,-0.0102,50000
fast,15,0.4,418,True,-164.35,2.6,0.984,0.11186,0.1262,0.0231,0.9648,0.002,0.0137,0.1222,-0.0125,50000
slow,1,0.1,918,True,36.9,15.5,0.8065,0.13243,0.1956,0.145,0.9506,0.0213,0.092,0.41,-0.0974,150000
slow,2,0.1,2000,False,180.59,12.3,0.8776,0.11912,0.156,0.0228,0.9635,0.0181,0.0679,0.416,-0.0074,150000
slow,3,0.1,2000,False,-428.63,1.2,1.2424,0.0177,0.1697,0.2162,0.9898,0.0,0.0019,0.4781,-0.2018,150000
slow,4,0.1,990,True,-74.93,0.0,0.0,0.0,0.0952,0.0751,0.9905,0.0,0.0,0.4734,-0.0443,150000
slow,5,0.1,986,True,250.17,29.4,0.8005,0.12525,0.1896,0.1372,0.9424,0.046,0.17,0.3951,-0.1051,150000
medium,6,0.25,1003,True,0.44,17.2,0.929,0.07673,0.1896,0.1559,0.956,0.0188,0.0651,0.4071,-0.1289,150000
medium,7,0.25,816,True,545.12,54.5,0.7947,0.14988,0.3035,0.1698,0.9033,0.149,0.3518,0.352,-0.1412,150000
medium,8,0.25,1258,True,89.68,25.3,0.8111,0.13236,0.2409,0.3,0.9602,0.0779,0.1378,0.4138,-0.2688,150000
medium,9,0.25,1764,True,-134.23,13.7,0.9211,0.09199,0.2175,0.1193,0.9075,0.0168,0.0598,0.3601,-0.0864,150000
medium,10,0.25,2000,False,167.85,15.5,0.8351,0.12122,0.1962,0.0605,0.9305,0.0323,0.0866,0.387,-0.0367,150000
fast,11,0.4,2000,False,383.75,17.8,0.9715,0.07606,0.1249,0.0351,0.9867,0.0204,0.0664,0.4586,-0.0236,150000
fast,12,0.4,1158,True,77.55,25.6,0.8945,0.1215,0.2717,0.1994,0.9195,0.0534,0.1391,0.3687,-0.1838,150000
fast,13,0.4,766,True,33.01,19.1,0.8215,0.13205,0.2467,0.2269,0.944,0.0795,0.1061,0.4124,-0.2013,150000
fast,14,0.4,634,True,58.32,26.5,0.873,0.09914,0.337,0.0806,0.8521,0.0715,0.1226,0.2786,-0.0501,150000
fast,15,0.4,778,True,132.01,22.6,0.9687,0.08675,0.1653,0.1004,0.9561,0.0473,0.0913,0.4079,-0.0624,150000
slow,1,0.1,819,True,68.07,14.4,1.087,0.05906,0.0713,0.0129,0.9698,0.0015,0.044,0.429,-0.0051,250000
slow,2,0.1,352,True,144.69,42.0,0.8851,0.09843,0.1659,0.0439,0.9416,0.0199,0.1983,0.361,-0.0259,250000
slow,3,0.1,50,True,30.9,92.0,1.0151,0.08082,0.4432,0.0845,0.7095,0.0146,0.3514,0.3225,-0.067,250000
slow,4,0.1,990,True,-51.98,0.0,0.0,0.0,0.0471,0.0086,0.9889,0.0,0.0,0.4556,-0.0026,250000
slow,5,0.1,1073,True,391.05,37.0,0.9209,0.06948,0.1136,0.0223,0.9702,0.0213,0.1293,0.3895,-0.0072,250000
medium,6,0.25,1038,True,-3.86,7.8,0.8957,0.10478,0.1106,0.0384,0.9708,0.0033,0.0392,0.4176,-0.0177,250000
medium,7,0.25,733,True,564.61,67.7,0.9045,0.10675,0.2933,0.1737,0.9433,0.1129,0.3217,0.36,-0.1435,250000
medium,8,0.25,1109,True,313.36,20.9,0.8629,0.13947,0.0811,0.0339,0.9771,0.0674,0.1223,0.4266,-0.0161,250000
medium,9,0.25,323,True,407.37,80.5,0.8005,0.15031,0.3141,0.0979,0.9074,0.3229,0.4924,0.3385,-0.0577,250000
medium,10,0.25,498,True,258.25,37.8,0.8529,0.10752,0.1479,0.029,0.9412,0.1676,0.1797,0.3915,-0.0106,250000
fast,11,0.4,827,True,-41.97,12.7,0.7162,0.14575,0.2164,0.1796,0.9528,0.0506,0.0769,0.401,-0.166,250000
fast,12,0.4,1009,True,101.74,13.0,0.8978,0.10507,0.0937,0.02,0.9689,0.0209,0.0651,0.4365,-0.0105,250000
fast,13,0.4,1638,True,308.56,21.6,1.0184,0.05288,0.1457,0.0388,0.9672,0.0063,0.0625,0.4447,-0.0193,250000
fast,14,0.4,748,True,31.65,16.6,1.0282,0.07925,0.1839,0.0286,0.9529,0.0076,0.0667,0.3519,-0.0149,250000
fast,15,0.4,614,True,2.5,7.0,0.8041,0.14101,0.0896,0.0235,0.9652,0.0298,0.0446,0.4293,-0.0101,250000
slow,1,0.1,990,True,-10.47,0.0,0.0,0.0,0.0451,0.0042,0.9959,0.0,0.0,0.4932,-0.0017,350000
slow,2,0.1,999,True,994.86,56.1,0.6935,0.19927,0.159,0.1238,0.9777,0.2126,0.4468,0.4275,-0.125,350000
slow,3,0.1,35,True,14.28,82.9,1.1201,0.03772,0.6462,0.0963,0.6888,0.0028,0.1764,0.4384,-0.0848,350000
slow,4,0.1,990,True,-10.93,0.0,0.0,0.0,0.0462,0.0042,0.9945,0.0,0.0,0.4934,-0.0017,350000
slow,5,0.1,990,True,-12.63,0.0,0.0,0.0,0.0457,0.0039,0.9959,0.0,0.0,0.4919,-0.0026,350000
medium,6,0.25,624,True,472.24,44.1,0.7554,0.1315,0.1607,0.0372,0.9657,0.2462,0.2426,0.3857,-0.0182,350000
medium,7,0.25,317,True,421.94,94.0,0.8026,0.11336,0.2394,0.1273,0.9407,0.2123,0.4747,0.3474,-0.0703,350000
medium,8,0.25,256,True,456.16,96.9,0.6767,0.23668,0.2541,0.217,0.9447,0.3911,0.9138,0.2703,-0.1726,350000
medium,9,0.25,482,True,453.71,83.4,0.8786,0.14606,0.2906,0.2314,0.9509,0.0498,0.5587,0.3294,-0.2771,350000
medium,10,0.25,1203,True,978.03,46.3,0.7509,0.1508,0.1692,0.0782,0.9755,0.2115,0.2981,0.4278,-0.0539,350000
fast,11,0.4,1931,True,1008.8,36.0,0.8139,0.13983,0.219,0.0622,0.9775,0.0731,0.224,0.4255,-0.043,350000
fast,12,0.4,16,True,0.1,93.8,0.7215,0.15221,0.7675,0.0612,0.4003,0.2501,0.6555,0.2349,-0.0946,350000
fast,13,0.4,29,True,12.29,96.6,1.0627,0.05828,0.577,0.0817,0.6755,0.0095,0.2802,0.3424,-0.0709,350000
fast,14,0.4,1322,True,504.76,31.2,0.8393,0.12185,0.2006,0.0636,0.9759,0.0402,0.1775,0.4284,-0.0513,350000
fast,15,0.4,15,True,-8.77,53.3,0.774,0.17114,0.8396,0.0559,0.2982,0.0949,0.4007,0.1821,-0.1021,350000
slow,1,0.1,19,True,-17.65,0.0,0.0,0.0,0.6581,0.119,0.5213,0.0,0.0,0.4601,-0.1236,400000
slow,2,0.1,16,True,-16.54,0.0,0.0,0.0,0.685,0.1265,0.499,0.0,0.0,0.4675,-0.126,400000
slow,3,0.1,14,True,-1.55,92.9,1.105,0.01502,0.8567,0.0547,0.4832,0.0069,0.1369,0.47,-0.1424,400000
slow,4,0.1,21,True,-17.81,0.0,0.0,0.0,0.586,0.1383,0.5521,0.0,0.0,0.47,-0.118,400000
slow,5,0.1,16,True,-17.56,0.0,0.0,0.0,0.751,0.1129,0.4484,0.0,0.0,0.4435,-0.1402,400000
medium,6,0.25,14,True,-13.32,28.6,1.0793,0.04175,0.8208,0.094,0.438,0.0046,0.0657,0.4233,-0.1718,400000
medium,7,0.25,17,True,-18.73,0.0,0.0,0.0,0.717,0.0981,0.4626,0.0,0.0,0.3508,-0.0955,400000
medium,8,0.25,426,True,581.78,83.6,0.7175,0.16791,0.2619,0.0778,0.9052,0.3324,0.5802,0.2527,-0.039,400000
medium,9,0.25,22,True,-18.3,0.0,0.0,0.0,0.5893,0.1004,0.5801,0.0,0.0,0.4284,-0.0957,400000
medium,10,0.25,15,True,-17.06,0.0,0.0,0.0,0.7185,0.1176,0.4256,0.0,0.0,0.4745,-0.158,400000
fast,11,0.4,16,True,-16.89,0.0,0.0,0.0,0.6557,0.1475,0.4741,0.0,0.0,0.4657,-0.1335,400000
fast,12,0.4,15,True,0.55,100.0,0.742,0.14655,0.7179,0.1013,0.4382,0.2003,0.6841,0.2269,-0.1255,400000
fast,13,0.4,14,True,0.21,100.0,0.8446,0.12479,0.8409,0.0468,0.4473,0.1283,0.5833,0.3711,-0.1242,400000
fast,14,0.4,24,True,-15.12,16.7,1.2496,0.00513,0.7161,0.0835,0.6315,0.0002,0.0208,0.429,-0.1276,400000
fast,15,0.4,13,True,1.63,100.0,0.6422,0.18983,0.8584,0.0395,0.3811,0.5011,0.8405,0.213,-0.1117,400000
slow,1,0.1,19,True,-17.67,0.0,0.0,0.0,0.6588,0.1168,0.5185,0.0,0.0,0.4598,-0.1228,400001
slow,2,0.1,16,True,-16.58,0.0,0.0,0.0,0.6876,0.1235,0.4934,0.0,0.0,0.4673,-0.1251,400001
slow,3,0.1,14,True,-1.59,92.9,1.103,0.0151,0.8593,0.0535,0.4784,0.007,0.1371,0.4699,-0.142,400001
slow,4,0.1,21,True,-17.83,0.0,0.0,0.0,0.5895,0.1354,0.5467,0.0,0.0,0.4696,-0.1156,400001
slow,5,0.1,16,True,-17.57,0.0,0.0,0.0,0.7539,0.1116,0.4453,0.0,0.0,0.4434,-0.1393,400001
medium,6,0.25,14,True,-13.33,28.6,1.0743,0.04199,0.8223,0.093,0.4359,0.005,0.0659,0.4232,-0.1718,400001
medium,7,0.25,17,True,-18.42,0.0,0.0,0.0,0.6972,0.1002,0.4845,0.0,0.0,0.3558,-0.0936,400001
medium,8,0.25,426,True,579.52,82.4,0.7189,0.16694,0.262,0.0657,0.8987,0.35,0.574,0.2514,-0.0358,400001
medium,9,0.25,22,True,-18.38,0.0,0.0,0.0,0.5958,0.1001,0.5721,0.0,0.0,0.4273,-0.0942,400001
medium,10,0.25,15,True,-17.07,0.0,0.0,0.0,0.7198,0.117,0.4238,0.0,0.0,0.4744,-0.1578,400001
fast,11,0.4,16,True,-16.91,0.0,0.0,0.0,0.6587,0.1459,0.4694,0.0,0.0,0.4661,-0.1329,400001
fast,12,0.4,15,True,0.61,100.0,0.7399,0.14714,0.7162,0.1012,0.4392,0.2048,0.6865,0.227,-0.125,400001
fast,13,0.4,14,True,0.2,100.0,0.8427,0.12549,0.842,0.046,0.4454,0.132,0.5868,0.371,-0.1243,400001
fast,14,0.4,24,True,-16.36,12.5,1.2717,0.00716,0.7176,0.094,0.6232,0.0001,0.0161,0.4284,-0.1323,400001
fast,15,0.4,13,True,1.62,100.0,0.642,0.18975,0.8587,0.0393,0.3807,0.5034,0.8401,0.213,-0.112,400001
