episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,r_stability,r_centering,r_scale
1,113,152.27,113,61.9,0.4276,0.239,0.5109,0.5911,0.7306,0.4947
2,246,133.93,133,59.4,0.5402,0.1955,0.5011,0.5223,0.5346,0.4313
3,304,60.21,58,62.1,0.5392,0.2157,0.5007,0.5124,0.5981,0.4794
4,379,94.44,75,62.7,0.4339,0.2131,0.5027,0.5834,0.7343,0.4482
5,519,81.93,140,64.3,0.7465,0.1079,0.5,0.3728,0.3567,0.2843
6,596,34.75,77,42.9,0.566,0.2077,0.5086,0.4337,0.4117,0.3072
7,653,54.92,57,57.9,0.4869,0.2317,0.4944,0.4933,0.6006,0.466
8,715,64.57,62,54.8,0.4072,0.2446,0.4827,0.5173,0.6819,0.4552
9,827,182.71,112,92.0,0.6076,0.1339,0.5236,0.5692,0.7792,0.4526
10,940,82.89,113,67.3,0.7917,0.1204,0.4963,0.4118,0.4165,0.3212
11,1027,35.4,87,47.1,0.6768,0.1713,0.4823,0.3903,0.3418,0.3185
12,1081,29.32,54,46.3,0.5166,0.2063,0.4987,0.4468,0.4632,0.3552
13,1143,82.89,62,64.5,0.4308,0.2282,0.5019,0.5364,0.8101,0.5066
14,1261,18.65,118,39.8,0.6563,0.1438,0.4771,0.304,0.3235,0.2169
15,1439,3.85,178,23.0,0.489,0.2324,0.5066,0.4256,0.248,0.1739
16,1490,28.81,51,47.1,0.4816,0.204,0.489,0.4217,0.5166,0.352
17,1658,117.17,168,60.7,0.7045,0.1535,0.5028,0.4362,0.3443,0.3693
18,1711,41.36,53,56.6,0.5773,0.2055,0.4604,0.4793,0.5063,0.4174
19,1796,86.03,85,64.7,0.5728,0.1716,0.4919,0.5457,0.5377,0.3992
20,1894,83.4,98,62.2,0.6365,0.163,0.5082,0.4764,0.4556,0.3986
21,2043,-33.4,149,24.8,0.7072,0.1354,0.5006,0.3129,0.1408,0.1408
22,2125,11.91,82,32.9,0.519,0.2177,0.499,0.3566,0.3286,0.2527
23,2294,277.88,169,82.2,0.54,0.2103,0.4939,0.4931,0.7407,0.6471
24,2384,52.11,90,52.2,0.6653,0.1801,0.4898,0.4254,0.4034,0.339
25,2489,41.43,105,57.1,0.8111,0.1111,0.5133,0.3924,0.2658,0.2602
26,2575,37.07,86,43.0,0.5144,0.2118,0.5263,0.3649,0.459,0.2932
27,2644,71.03,69,62.3,0.5803,0.1914,0.487,0.5166,0.56,0.4744
28,2726,94.62,82,74.4,0.7055,0.1648,0.4856,0.5981,0.4317,0.5022
29,2781,63.37,55,56.4,0.3345,0.2425,0.4856,0.4963,0.7964,0.4778
30,2868,22.56,87,50.6,0.7346,0.1105,0.5185,0.3697,0.2824,0.2165
31,2996,194.1,128,64.1,0.3215,0.1813,0.4856,0.6235,0.9279,0.4025
32,3078,86.24,82,54.9,0.3978,0.2261,0.4999,0.4974,0.7117,0.4158
33,3151,80.44,73,57.5,0.4376,0.2182,0.4767,0.5636,0.6817,0.4182
34,3276,150.12,125,64.0,0.5626,0.2158,0.4936,0.5986,0.5442,0.4982
35,3349,41.78,73,57.5,0.7598,0.1444,0.5213,0.4138,0.4016,0.3186
36,3410,24.87,61,37.7,0.4471,0.2014,0.4994,0.4823,0.4249,0.2875
37,3542,218.11,132,78.0,0.5622,0.2132,0.4736,0.6272,0.6835,0.6371
38,3657,130.91,115,74.8,0.6454,0.1601,0.5155,0.4803,0.5157,0.4814
39,3706,30.11,49,53.1,0.5878,0.1937,0.4968,0.4211,0.4744,0.3925
40,3828,200.24,122,65.6,0.3238,0.2649,0.5045,0.6003,0.9475,0.5198
41,3903,54.2,75,60.0,0.6943,0.1869,0.5003,0.4445,0.3967,0.4148
42,3961,23.04,58,48.3,0.7033,0.2012,0.5149,0.4249,0.3032,0.3588
43,4063,105.22,102,66.7,0.692,0.1837,0.5309,0.5114,0.5104,0.4412
44,4121,36.22,58,46.6,0.4711,0.2216,0.4944,0.4542,0.5039,0.3732
45,4172,18.78,51,43.1,0.5174,0.2207,0.5087,0.3511,0.4523,0.3296
46,4350,150.46,178,62.9,0.7023,0.1245,0.5165,0.5446,0.4103,0.3174
47,4407,30.52,57,47.4,0.5678,0.2147,0.4909,0.4502,0.4213,0.3656
48,4568,43.39,161,38.5,0.5864,0.1772,0.4997,0.3641,0.3287,0.2537
49,4774,207.3,206,56.3,0.5058,0.1531,0.4905,0.5633,0.5764,0.352
50,4883,124.59,109,63.3,0.5869,0.2071,0.5109,0.5364,0.5541,0.5113
51,4940,35.41,57,50.9,0.5737,0.1917,0.5047,0.455,0.4556,0.3773
52,5055,4.86,115,39.1,0.8069,0.1158,0.5385,0.3576,0.1898,0.1905
53,5136,75.43,81,72.8,0.7577,0.1434,0.5233,0.4949,0.4358,0.3956
54,5189,18.96,53,37.7,0.4256,0.2214,0.5271,0.42,0.4507,0.2983
55,5347,17.27,158,37.3,0.7338,0.1187,0.5088,0.3972,0.2298,0.1721
56,5494,165.6,147,93.2,0.7659,0.1281,0.5024,0.3703,0.4056,0.4868
57,5554,55.4,60,51.7,0.3768,0.2239,0.5506,0.4943,0.6575,0.4216
58,5638,43.69,84,48.8,0.6194,0.1946,0.5189,0.4004,0.3741,0.3767
59,5693,57.31,55,61.8,0.4844,0.2087,0.5365,0.5142,0.6734,0.418
60,5994,79.25,301,23.3,0.4883,0.2316,0.5333,0.6293,0.2319,0.2027
61,6226,109.92,232,40.1,0.4784,0.1886,0.5375,0.4263,0.4219,0.2679
62,6591,341.18,365,42.5,0.3574,0.1528,0.5319,0.7025,0.5994,0.2356
63,7048,199.36,457,37.2,0.6605,0.168,0.524,0.5803,0.256,0.2498
64,7363,566.05,315,67.0,0.37,0.152,0.5209,0.8192,0.9005,0.4392
65,7646,689.23,283,100.0,0.4439,0.0913,0.5148,0.8629,1.1851,0.4229
66,7919,755.4,273,100.0,0.3372,0.1041,0.5258,0.941,1.4006,0.4621
67,8198,724.71,279,100.0,0.3894,0.0958,0.5036,0.9343,1.2618,0.4373
68,8466,706.43,268,100.0,0.4283,0.1121,0.5237,0.9575,1.2279,0.4879
69,8710,664.55,244,100.0,0.3754,0.1054,0.5374,0.9679,1.3246,0.4721
70,8960,561.32,250,89.2,0.5186,0.1207,0.5527,0.9459,0.9832,0.4642
71,9237,583.25,277,78.0,0.2965,0.1124,0.5483,0.7841,1.1876,0.3902
72,9485,618.76,248,96.0,0.404,0.0959,0.5456,0.9567,1.1978,0.4211
73,9751,627.53,266,96.6,0.5294,0.0916,0.529,0.9674,1.0566,0.4065
74,10037,609.1,286,86.4,0.4336,0.0916,0.5469,0.8747,1.0603,0.3661
75,10265,559.67,228,100.0,0.4283,0.0904,0.5504,0.9154,1.1621,0.4211
76,10495,654.44,230,100.0,0.2957,0.0936,0.5581,0.9625,1.4962,0.4301
77,10735,670.17,240,100.0,0.2876,0.088,0.5612,0.9333,1.4939,0.4069
78,10980,615.13,245,98.4,0.3844,0.0907,0.5656,0.8924,1.2634,0.4121
79,11215,617.0,235,100.0,0.3629,0.088,0.5523,0.9104,1.3486,0.4091
80,11448,636.87,233,100.0,0.2908,0.0889,0.556,0.8389,1.5247,0.4126
81,11654,588.73,206,100.0,0.281,0.0915,0.5852,0.9606,1.5276,0.4182
82,11852,564.21,198,100.0,0.2861,0.0917,0.5945,0.9475,1.531,0.4215
83,12054,518.43,202,100.0,0.4086,0.0877,0.5947,0.9675,1.2393,0.4091
84,12260,531.55,206,98.1,0.3821,0.0961,0.6021,0.962,1.2568,0.4295
85,12470,607.91,210,100.0,0.2739,0.0906,0.5855,0.9495,1.5738,0.4191
86,12669,480.74,199,100.0,0.4522,0.1002,0.6137,0.9215,1.097,0.4475
87,12894,611.16,225,100.0,0.3456,0.0931,0.5565,0.9637,1.3691,0.428
88,13156,691.17,262,100.0,0.36,0.0841,0.5421,0.9605,1.3238,0.392
89,13389,336.81,233,63.9,0.4519,0.1321,0.5622,0.7494,0.7356,0.364
90,13627,345.66,238,68.9,0.5308,0.1205,0.5528,0.7451,0.6942,0.3659
91,13896,331.4,269,58.4,0.4545,0.1254,0.5212,0.6928,0.6694,0.3233
92,14192,318.45,296,58.4,0.6087,0.1235,0.5193,0.7099,0.4958,0.3195
93,14439,377.33,247,70.0,0.5732,0.1247,0.5622,0.7985,0.681,0.3882
94,14769,268.75,330,49.7,0.6263,0.1257,0.5365,0.6245,0.4437,0.2795
95,15116,245.76,347,43.8,0.5661,0.1426,0.5379,0.6106,0.4136,0.2748
96,15509,280.88,393,46.3,0.5306,0.1171,0.58,0.569,0.4657,0.2423
97,16009,183.8,500,29.8,0.5707,0.1518,0.5418,0.5789,0.2951,0.1957
98,16509,326.16,500,29.6,0.5311,0.1523,0.4877,0.8616,0.2979,0.1968
99,16763,386.5,254,63.8,0.4286,0.1467,0.6218,0.7672,0.7477,0.4084
100,16995,400.73,232,70.7,0.461,0.1488,0.6273,0.8391,0.7664,0.458
101,17267,376.12,272,60.7,0.4689,0.1522,0.5828,0.7541,0.6502,0.4087
102,17767,427.15,500,38.6,0.4174,0.1602,0.6071,0.7181,0.4725,0.2777
103,18051,412.92,284,55.3,0.4494,0.1842,0.5263,0.856,0.634,0.4463
104,18358,481.58,307,59.9,0.4167,0.1991,0.5355,0.7295,0.7551,0.5174
105,18617,460.76,259,64.1,0.3482,0.2036,0.5173,0.7202,0.8904,0.5661
