episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,r_stability,r_centering,r_scale,phase,target_offset,init_pos,init_vel,init_ang
1,113,163.2,113,61.9,0.3742,0.2517,0.5109,0.5911,0.8201,0.502,A,0.1,0.2,0.1,0.05
2,315,62.47,202,37.6,0.6044,0.208,0.5041,0.3912,0.285,0.3063,A,0.1,0.2,0.1,0.05
3,372,46.42,57,54.4,0.5576,0.2087,0.4988,0.5092,0.5088,0.4281,A,0.1,0.2,0.1,0.05
4,478,-45.84,106,19.8,0.693,0.1717,0.4965,0.2178,0.1019,0.1441,A,0.101,0.2,0.1,0.05
5,610,146.36,132,51.5,0.4085,0.2344,0.5076,0.5892,0.6684,0.4118,A,0.101,0.2,0.1,0.05
6,748,23.49,138,48.6,0.7789,0.1272,0.4938,0.2533,0.2544,0.2495,A,0.101,0.2,0.1,0.05
7,860,149.13,112,66.1,0.5105,0.2235,0.5145,0.586,0.6745,0.4996,A,0.101,0.201,0.1,0.05
8,1031,55.88,171,35.7,0.529,0.1846,0.4882,0.4202,0.3455,0.2628,A,0.101,0.201,0.1,0.05
9,1090,23.32,59,45.8,0.6595,0.182,0.5167,0.4751,0.3035,0.3285,A,0.101,0.201,0.1,0.05
10,1150,38.49,60,48.3,0.4964,0.2027,0.4893,0.456,0.506,0.3628,A,0.102,0.201,0.1,0.05
11,1206,-5.67,56,30.4,0.6572,0.181,0.4803,0.3353,0.2136,0.2248,A,0.102,0.201,0.1,0.05
12,1268,16.15,62,37.1,0.5495,0.1852,0.4699,0.4409,0.345,0.2648,A,0.102,0.201,0.1,0.05
13,1385,-5.53,117,26.5,0.5358,0.2168,0.5067,0.3043,0.2582,0.2107,A,0.102,0.201,0.1,0.05
14,1462,54.82,77,57.1,0.7073,0.1559,0.4942,0.5492,0.3649,0.3564,A,0.102,0.201,0.1,0.05
15,1513,28.59,51,51.0,0.5422,0.2123,0.5227,0.3647,0.498,0.3841,A,0.102,0.201,0.101,0.05
16,1612,62.23,99,58.6,0.6287,0.1574,0.4902,0.3276,0.442,0.3742,A,0.102,0.201,0.101,0.05
17,1665,30.85,53,47.2,0.4885,0.2153,0.5152,0.3945,0.5276,0.3769,A,0.102,0.201,0.101,0.05
18,1720,43.33,55,58.2,0.6325,0.1941,0.4538,0.5078,0.4378,0.4422,A,0.102,0.201,0.101,0.05
19,1823,170.25,103,75.7,0.541,0.1997,0.4946,0.6596,0.736,0.5971,A,0.102,0.201,0.101,0.05
20,1895,67.6,72,61.1,0.5841,0.1955,0.5176,0.4802,0.5532,0.4333,A,0.103,0.201,0.101,0.05
21,2045,42.0,150,36.7,0.6006,0.1977,0.4966,0.3681,0.3203,0.2916,A,0.103,0.201,0.101,0.05
22,2125,14.59,80,31.2,0.4297,0.2256,0.5034,0.3791,0.3643,0.2516,A,0.103,0.201,0.101,0.05
23,2286,221.87,161,76.4,0.5503,0.1752,0.4946,0.4469,0.6767,0.5526,A,0.103,0.202,0.101,0.05
