episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_offset,init_pos,init_vel,init_ang
1,113,7.45,113,61.9,0.6249,0.2241,0.5109,0.6646,0.5911,0.3208,0.5517,0.2579,-0.7897,B,0.3,0.3,0.15,0.05
2,316,-172.73,203,38.9,0.795,0.1592,0.5045,0.68,0.3908,0.0891,0.2689,0.1154,-0.8183,B,0.3,0.3,0.15,0.05
3,376,-27.21,60,45.0,0.6602,0.1443,0.4929,0.6635,0.5466,0.1824,0.3048,0.3345,-0.8145,B,0.3,0.3,0.15,0.05
4,481,-87.84,105,49.5,0.9234,0.0894,0.4962,0.6588,0.3663,0.0245,0.2192,0.162,-0.7689,B,0.301,0.3,0.15,0.05
5,596,-54.64,115,54.8,0.7643,0.1232,0.5083,0.6777,0.6186,0.0771,0.3143,0.2271,-0.8276,B,0.301,0.3,0.15,0.05
6,652,-13.37,56,62.5,0.7195,0.1694,0.4941,0.6694,0.4819,0.2112,0.479,0.2945,-0.7917,B,0.301,0.301,0.15,0.05
7,724,30.05,72,56.9,0.5001,0.2427,0.489,0.6103,0.5332,0.7318,0.4779,0.3071,-0.6699,B,0.301,0.301,0.15,0.05
8,830,24.88,106,78.3,0.6301,0.1635,0.5245,0.7369,0.4836,0.8025,0.5542,0.2067,-0.9553,B,0.301,0.301,0.15,0.05
9,967,-85.27,137,55.5,0.7775,0.1657,0.4896,0.6352,0.3988,0.0869,0.3872,0.1372,-0.7411,B,0.301,0.301,0.15,0.05
10,1075,-17.44,108,67.6,0.759,0.161,0.4917,0.6422,0.5835,0.151,0.437,0.2194,-0.7609,B,0.301,0.301,0.15,0.05
11,1153,2.99,78,74.4,0.7653,0.1831,0.5078,0.6881,0.582,0.1484,0.5883,0.3448,-0.8248,B,0.301,0.301,0.15,0.05
12,1305,-177.44,152,21.7,0.9397,0.1066,0.4785,0.6519,0.387,0.0306,0.1011,0.1243,-0.7511,B,0.302,0.301,0.151,0.05
13,1371,-17.44,66,51.5,0.7109,0.2271,0.5114,0.6229,0.5107,0.1608,0.4275,0.2808,-0.706,B,0.302,0.301,0.151,0.05
14,1433,-56.0,62,32.3,0.8966,0.1424,0.4997,0.6492,0.4515,0.0245,0.2082,0.2586,-0.7651,B,0.302,0.301,0.151,0.05
15,1528,-73.86,95,53.7,0.9394,0.085,0.5144,0.698,0.4655,0.0174,0.2154,0.2335,-0.8657,B,0.302,0.301,0.151,0.05
16,1626,56.15,98,60.2,0.4517,0.2426,0.4809,0.6631,0.5317,0.9918,0.4975,0.2171,-0.7599,B,0.302,0.301,0.151,0.05
17,1699,25.65,73,72.6,0.6349,0.1757,0.4863,0.666,0.4798,0.7317,0.5273,0.2677,-0.785,B,0.302,0.301,0.151,0.05
18,1766,-30.99,67,44.8,0.5751,0.2087,0.4982,0.7109,0.4292,0.3706,0.3628,0.2472,-0.8708,B,0.302,0.301,0.151,0.05
19,1825,-43.89,59,39.0,0.8508,0.1522,0.4888,0.6266,0.4444,0.0594,0.2494,0.2448,-0.7055,B,0.302,0.301,0.151,0.05
20,1913,23.74,88,63.6,0.5118,0.2063,0.5166,0.6981,0.5449,0.7478,0.4468,0.2866,-0.8729,B,0.302,0.302,0.151,0.05
21,2021,68.01,108,72.2,0.6035,0.1918,0.4974,0.6664,0.6796,0.6019,0.556,0.3501,-0.7835,B,0.302,0.302,0.151,0.05
