episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_speed,target_offset,init_pos,init_vel,init_ang
1,112,-108.16,112,31.2,0.7117,0.099,0.5092,0.6638,0.5688,0.274,0.1473,0.2158,-0.7859,A,0.0529,0.2,0.2,0.1,0.03
2,242,-118.91,130,46.2,1.0037,0.0925,0.5038,0.6742,0.4695,0.0092,0.2068,0.1469,-0.8123,A,0.0893,0.2,0.2,0.1,0.03
3,300,-28.18,58,69.0,0.8451,0.1183,0.5066,0.6986,0.4736,0.049,0.3839,0.2822,-0.8321,A,0.063,0.2,0.2,0.1,0.03
4,366,21.12,66,75.8,0.5917,0.1983,0.5093,0.6856,0.5774,0.6334,0.6316,0.2745,-0.8478,A,0.0679,0.2,0.2,0.1,0.03
5,455,-72.46,89,36.0,0.7455,0.1778,0.4911,0.6665,0.3616,0.0841,0.2708,0.218,-0.7854,A,0.0666,0.2,0.2,0.1,0.03
6,548,-129.92,93,0.0,0.0,0.0,0.5032,0.6744,0.5743,0.0,0.0,0.2402,-0.8168,A,0.0819,0.2,0.2,0.1,0.03
7,599,-48.7,51,43.1,1.072,0.0521,0.5138,0.6538,0.426,0.005,0.1172,0.2834,-0.7642,A,0.0905,0.201,0.2,0.1,0.03
8,663,-89.98,64,0.0,0.0,0.0,0.4831,0.6707,0.5079,0.0,0.0,0.2738,-0.7774,A,0.0987,0.201,0.2,0.1,0.03
9,722,-77.21,59,0.0,0.0,0.0,0.4855,0.5896,0.4419,0.0,0.0,0.2796,-0.6397,A,0.062,0.201,0.2,0.1,0.03
10,839,-173.75,117,0.0,0.0,0.0,0.5226,0.7428,0.6306,0.0,0.0,0.2469,-0.9618,A,0.0695,0.201,0.2,0.1,0.03
11,932,-107.49,93,30.1,0.9806,0.0485,0.4969,0.6328,0.3528,0.0076,0.0757,0.1706,-0.7401,A,0.0865,0.201,0.2,0.1,0.03
12,1001,-39.65,69,55.1,0.8887,0.1355,0.491,0.6405,0.4651,0.0473,0.345,0.2321,-0.7643,A,0.0621,0.201,0.2,0.1,0.03
13,1060,-58.14,59,30.5,1.0402,0.0241,0.4735,0.6317,0.5245,0.0036,0.0525,0.3052,-0.7062,A,0.06,0.201,0.2,0.1,0.03
14,1191,-180.4,131,22.1,0.8579,0.0823,0.504,0.6711,0.2817,0.0303,0.0873,0.1007,-0.8075,A,0.0661,0.201,0.201,0.1,0.03
15,1280,-47.44,89,43.8,0.714,0.1866,0.4645,0.6487,0.3909,0.2126,0.3504,0.1955,-0.7313,A,0.0936,0.201,0.201,0.1,0.03
16,1385,-93.71,105,40.0,0.7448,0.0705,0.5117,0.653,0.487,0.3026,0.1386,0.2179,-0.763,A,0.0522,0.201,0.201,0.1,0.03
17,1463,-42.31,78,51.3,0.8995,0.1178,0.4978,0.6421,0.5474,0.0218,0.2829,0.271,-0.7556,A,0.0723,0.201,0.201,0.1,0.03
