episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_speed,target_offset,init_pos,init_vel,init_ang
1,112,-164.86,112,32.1,0.7304,0.0952,0.5092,0.6638,0.5688,0.2734,0.1466,0.2158,-0.7859,A,0.0529,0.2,0.2,0.1,0.03
2,242,-176.43,130,46.2,1.005,0.0918,0.5038,0.6742,0.4695,0.0092,0.2053,0.1469,-0.8123,A,0.0893,0.2,0.2,0.1,0.03
3,300,-87.27,58,69.0,0.8467,0.117,0.5066,0.6986,0.4736,0.0477,0.3799,0.2822,-0.8321,A,0.063,0.2,0.2,0.1,0.03
4,366,-37.57,66,75.8,0.5918,0.1967,0.5093,0.6856,0.5774,0.6331,0.6306,0.2745,-0.8478,A,0.0679,0.2,0.2,0.1,0.03
5,455,-130.71,89,36.0,0.7454,0.1767,0.4911,0.6665,0.3616,0.0842,0.2705,0.218,-0.7854,A,0.0666,0.2,0.2,0.1,0.03
6,548,-188.08,93,0.0,0.0,0.0,0.5032,0.6744,0.5743,0.0,0.0,0.2402,-0.8168,A,0.0819,0.2,0.2,0.1,0.03
7,599,-107.74,51,43.1,1.0737,0.0513,0.5138,0.6538,0.426,0.0049,0.1158,0.2834,-0.7642,A,0.0905,0.201,0.2,0.1,0.03
8,663,-148.72,64,0.0,0.0,0.0,0.4831,0.6707,0.5079,0.0,0.0,0.2738,-0.7774,A,0.0987,0.201,0.2,0.1,0.03
9,722,-136.05,59,0.0,0.0,0.0,0.4855,0.5896,0.4419,0.0,0.0,0.2796,-0.6397,A,0.062,0.201,0.2,0.1,0.03
10,839,-231.43,117,0.0,0.0,0.0,0.5226,0.7428,0.6306,0.0,0.0,0.2469,-0.9618,A,0.0695,0.201,0.2,0.1,0.03
11,932,-165.69,93,30.1,0.9811,0.0475,0.4969,0.6328,0.3528,0.0075,0.0746,0.1706,-0.7401,A,0.0865,0.201,0.2,0.1,0.03
12,1001,-98.42,69,55.1,0.8905,0.1345,0.491,0.6405,0.4651,0.0467,0.3434,0.2321,-0.7643,A,0.0621,0.201,0.2,0.1,0.03
13,1060,-117.0,59,30.5,1.039,0.024,0.4735,0.6317,0.5245,0.0037,0.0525,0.3052,-0.7062,A,0.06,0.201,0.2,0.1,0.03
14,1191,-237.84,131,22.1,0.8588,0.0813,0.504,0.6711,0.2817,0.0304,0.0863,0.1007,-0.8075,A,0.0661,0.201,0.201,0.1,0.03
