episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_speed,target_offset,init_pos,init_vel,init_ang
1,112,-164.86,112,32.1,0.7304,0.0952,0.5092,0.6638,0.5688,0.2734,0.1466,0.2158,-0.7859,A,0.0565,0.214,0.207,0.104,0.031
2,242,-177.34,130,46.2,1.0072,0.0894,0.5038,0.6742,0.469,0.0088,0.2002,0.146,-0.8123,A,0.0973,0.232,0.216,0.108,0.033
3,301,-90.28,59,66.1,0.8472,0.1155,0.5035,0.6953,0.4654,0.0442,0.3592,0.277,-0.8266,A,0.0729,0.24,0.22,0.11,0.034
4,369,-40.4,68,75.0,0.6275,0.1998,0.507,0.6793,0.6006,0.509,0.636,0.2792,-0.8358,A,0.0801,0.249,0.225,0.112,0.035
5,481,-168.57,112,27.7,0.7308,0.1942,0.4921,0.6508,0.2685,0.0934,0.2179,0.1673,-0.7569,A,0.0825,0.264,0.232,0.116,0.036
6,596,-205.96,115,0.0,0.0,0.0,0.5083,0.6777,0.6396,0.0,0.0,0.3057,-0.8276,A,0.1016,0.279,0.239,0.12,0.038
7,652,-139.98,56,0.0,0.0,0.0,0.4941,0.6694,0.4855,0.0,0.0,0.2798,-0.7917,A,0.112,0.286,0.243,0.122,0.039
8,725,-109.47,73,49.3,1.052,0.0348,0.489,0.6119,0.5236,0.0074,0.1001,0.2945,-0.6695,A,0.1227,0.297,0.248,0.124,0.04
9,838,-241.73,113,0.0,0.0,0.0,0.5212,0.7334,0.4538,0.0,0.0,0.1785,-0.945,A,0.0897,0.311,0.256,0.128,0.041
10,934,-172.62,96,32.3,0.7818,0.0609,0.4972,0.6295,0.2833,0.0698,0.0977,0.1479,-0.736,A,0.1004,0.324,0.262,0.131,0.042
11,996,-145.79,62,0.0,0.0,0.0,0.4824,0.6254,0.4174,0.0,0.0,0.2764,-0.7271,A,0.1194,0.332,0.266,0.133,0.043
12,1064,-97.18,68,47.1,1.0091,0.0911,0.4831,0.6385,0.6029,0.0068,0.2047,0.3376,-0.7326,A,0.0972,0.341,0.271,0.135,0.044
13,1219,-270.45,155,13.5,0.8865,0.0963,0.4943,0.669,0.3977,0.0146,0.0623,0.1111,-0.7996,A,0.1003,0.362,0.281,0.141,0.046
14,1401,-287.35,182,8.8,1.1194,0.0176,0.4947,0.6484,0.4751,0.0005,0.0136,0.2099,-0.75,A,0.1125,0.387,0.293,0.147,0.049
15,1552,-206.05,151,28.5,0.66,0.1992,0.5057,0.6762,0.2833,0.1444,0.2416,0.1254,-0.8213,B,0.1453,0.406,0.304,0.153,0.051
16,1646,-173.37,94,24.5,1.0432,0.0231,0.4908,0.6805,0.4062,0.0019,0.0413,0.2405,-0.8089,B,0.1052,0.419,0.313,0.16,0.053
17,1709,-51.98,63,71.4,0.7381,0.1848,0.4755,0.6516,0.5246,0.3735,0.5578,0.3304,-0.7449,B,0.1286,0.428,0.318,0.164,0.055
18,1786,-60.2,77,63.6,0.6742,0.1839,0.4982,0.6911,0.4637,0.5379,0.4419,0.2344,-0.8396,B,0.1203,0.438,0.325,0.169,0.056
19,1953,-296.93,167,13.2,1.2009,0.0199,0.4993,0.6764,0.3419,0.0002,0.0214,0.1237,-0.82,B,0.1325,0.46,0.34,0.18,0.06
20,2007,-132.15,54,0.0,0.0,0.0,0.5198,0.6723,0.5741,0.0,0.0,0.3345,-0.7921,B,0.1666,0.467,0.345,0.184,0.061
21,2074,-162.17,67,0.0,0.0,0.0,0.4947,0.6553,0.3366,0.0,0.0,0.1968,-0.7605,B,0.1304,0.476,0.351,0.188,0.063
22,2172,-52.12,98,67.3,0.6056,0.1876,0.4952,0.6709,0.4378,0.6527,0.527,0.2037,-0.7947,B,0.1729,0.489,0.359,0.195,0.065
