episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_speed,target_offset,init_pos,init_vel,init_ang
1,112,-287.42,112,64.3,0.4209,0.2532,0.5092,0.6638,0.5688,1.0653,0.5456,0.2224,-0.7859,A,0.053,0.000-0.118,0.2,0.1,0.03
2,242,-476.09,130,66.2,0.708,0.1615,0.5038,0.6742,0.4695,0.3389,0.422,0.1527,-0.8123,A,0.0894,0.000-0.118,0.2,0.1,0.03
3,300,-188.96,58,56.9,0.5774,0.1904,0.5066,0.6986,0.4736,0.7917,0.4039,0.2683,-0.8321,A,0.0631,0.000-0.118,0.2,0.1,0.03
4,366,-231.87,66,57.6,0.6058,0.1601,0.5093,0.6856,0.5774,0.4829,0.3918,0.2745,-0.8478,A,0.0681,0.000-0.118,0.2,0.1,0.03
5,455,-306.77,89,40.4,0.537,0.2155,0.4911,0.6665,0.3617,0.6169,0.317,0.2268,-0.7854,A,0.0668,0.000-0.118,0.201,0.1,0.03
6,548,-306.8,93,46.2,0.4933,0.205,0.5032,0.6744,0.5743,0.7051,0.3495,0.2296,-0.8168,A,0.0822,0.000-0.118,0.201,0.1,0.03
7,599,-177.38,51,41.2,0.4793,0.2048,0.5138,0.6538,0.426,0.5908,0.319,0.2942,-0.7642,A,0.0907,0.000-0.118,0.201,0.1,0.03
8,663,-203.12,64,53.1,0.5638,0.2281,0.4831,0.6707,0.5079,0.499,0.4553,0.2852,-0.7774,A,0.099,0.000-0.118,0.201,0.1,0.03
9,722,-129.51,59,52.5,0.43,0.2241,0.4855,0.5896,0.4419,0.968,0.4344,0.2792,-0.6397,A,0.0623,0.000-0.118,0.201,0.1,0.03
10,839,-432.03,117,56.4,0.5206,0.2027,0.5226,0.7428,0.6306,0.7651,0.4288,0.2551,-0.9618,A,0.0699,0.000-0.118,0.201,0.101,0.03
11,932,-360.85,93,29.0,0.6864,0.1882,0.4969,0.6328,0.3528,0.2506,0.2026,0.1716,-0.7401,A,0.0869,0.000-0.118,0.201,0.101,0.03
12,1001,-217.32,69,40.6,0.4217,0.1981,0.491,0.6405,0.4651,0.7817,0.3067,0.2379,-0.7643,A,0.0625,0.000-0.118,0.201,0.101,0.03
13,1060,-177.49,59,49.2,0.6237,0.1878,0.4735,0.6317,0.5244,0.3208,0.3791,0.3059,-0.7062,A,0.0604,0.000-0.118,0.201,0.101,0.03
14,1167,-491.84,107,21.5,0.4718,0.2224,0.5093,0.6775,0.2753,0.3395,0.1735,0.1311,-0.8154,A,0.0666,0.000-0.118,0.201,0.101,0.03
15,1267,-253.83,100,94.0,0.6291,0.2086,0.47,0.6543,0.4782,0.779,0.7,0.2006,-0.7524,A,0.0941,0.000-0.118,0.202,0.101,0.03
16,1393,-517.27,126,23.8,0.4301,0.2152,0.5059,0.6463,0.3076,0.4488,0.1892,0.165,-0.7528,A,0.0527,0.000-0.118,0.202,0.101,0.03
17,1556,-697.2,163,30.1,0.516,0.2358,0.5011,0.6718,0.3961,0.3758,0.2623,0.1452,-0.8067,A,0.0729,0.000-0.118,0.202,0.101,0.03
18,1622,-246.14,66,39.4,0.6261,0.2189,0.4847,0.6785,0.4061,0.2964,0.3114,0.2333,-0.7795,A,0.0634,0.000-0.118,0.202,0.101,0.03
19,1700,-241.15,78,71.8,0.6982,0.1611,0.4886,0.6768,0.5035,0.6488,0.4307,0.2563,-0.8052,A,0.0698,0.000-0.118,0.202,0.101,0.03
20,1768,-262.72,68,44.1,0.565,0.2069,0.4972,0.7163,0.4426,0.6008,0.34,0.2545,-0.8898,A,0.0964,0.000-0.118,0.202,0.101,0.03
21,1838,-198.47,70,51.4,0.5009,0.2074,0.4845,0.6409,0.4725,0.6887,0.4065,0.2748,-0.735,A,0.0652,0.000-0.118,0.202,0.101,0.03
22,1923,-329.04,85,35.3,0.3977,0.2049,0.523,0.7051,0.4616,0.7303,0.2676,0.2438,-0.8782,A,0.096,0.000-0.118,0.202,0.101,0.03
23,2023,-278.5,100,74.0,0.5749,0.161,0.4998,0.6679,0.6187,0.665,0.4791,0.2733,-0.7914,A,0.0541,0.000-0.118,0.203,0.101,0.031
24,2108,-327.53,85,48.2,0.8098,0.1593,0.4882,0.6639,0.3746,0.3093,0.2811,0.1813,-0.7882,A,0.0698,0.000-0.118,0.203,0.101,0.031
25,2193,-248.32,85,43.5,0.4277,0.2215,0.4993,0.6534,0.4398,0.8631,0.3578,0.2263,-0.739,A,0.0887,0.000-0.118,0.203,0.101,0.031
26,2317,-472.88,124,35.5,0.5982,0.1799,0.4952,0.6627,0.4784,0.5098,0.2405,0.1454,-0.7864,A,0.0862,0.000-0.118,0.203,0.101,0.031
27,2432,-397.64,115,67.8,0.7168,0.141,0.5006,0.6691,0.5945,0.2804,0.4196,0.1715,-0.8132,A,0.0864,0.000-0.118,0.203,0.102,0.031
28,2508,-227.77,76,61.8,0.5684,0.2163,0.5125,0.6731,0.5074,0.7538,0.4618,0.2716,-0.8074,A,0.0591,0.000-0.118,0.203,0.102,0.031
29,2621,-300.76,113,70.8,0.4502,0.257,0.5067,0.6867,0.6724,1.0045,0.6295,0.2561,-0.8466,A,0.0742,0.000-0.118,0.203,0.102,0.031
30,2733,-172.28,112,78.6,0.3956,0.2352,0.4909,0.6747,0.7499,1.4946,0.699,0.3663,-0.7882,A,0.0531,0.000-0.118,0.203,0.102,0.031
31,2783,-129.0,50,52.0,0.4179,0.2312,0.4848,0.6364,0.4345,1.0659,0.4494,0.281,-0.7243,A,0.0591,0.000-0.118,0.203,0.102,0.031
