episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_alive_sum,r_track_sum,r_invis_sum,r_jerk_sum,phase,alpha,target_speed,jitter_xy,term_reason
1,117,-65.01,117,65.0,0,0.506,0.6653,58.5,2.578,-2.05,-124.038,A,0.201,0.0,0.05,
2,212,-43.83,95,61.1,0,0.5281,0.6892,47.5,18.486,-1.85,-107.963,A,0.202,0.0,0.051,
3,286,-36.48,74,43.2,0,0.5273,0.6786,37.0,8.009,-2.1,-79.392,A,0.203,0.0,0.051,
4,349,-20.51,63,60.3,0,0.492,0.6485,31.5,13.278,-1.25,-64.04,A,0.203,0.0,0.051,
5,414,-32.44,65,50.8,0,0.536,0.6894,32.5,10.923,-1.6,-74.264,A,0.204,0.0,0.051,
6,478,-25.0,64,65.6,0,0.5126,0.6673,32.0,12.025,-1.1,-67.927,A,0.205,0.0,0.052,
7,603,-55.24,125,79.2,0,0.5333,0.698,62.5,29.288,-1.3,-145.724,A,0.206,0.0,0.052,
8,690,-50.9,87,55.2,0,0.5096,0.691,43.5,6.001,-1.95,-98.449,A,0.207,0.0,0.052,
9,749,-12.95,59,59.3,0,0.489,0.6173,29.5,12.963,-1.2,-54.218,A,0.207,0.0,0.053,
10,830,-37.55,81,69.1,0,0.5201,0.6974,40.5,16.162,-1.25,-92.966,A,0.208,0.0,0.053,
11,904,-38.32,74,62.2,0,0.5075,0.7169,37.0,13.933,-1.4,-87.856,A,0.209,0.0,0.053,
12,957,-17.36,53,47.2,0,0.5107,0.6439,26.5,10.298,-1.4,-52.761,A,0.21,0.0,0.053,
13,1020,-25.6,63,49.2,0,0.4855,0.6611,31.5,8.998,-1.6,-64.497,A,0.21,0.0,0.054,
14,1072,-25.68,52,61.5,0,0.5121,0.7274,26.0,11.438,-1.0,-62.117,A,0.211,0.0,0.054,
15,1124,-28.07,52,53.8,0,0.5175,0.7127,26.0,8.717,-1.2,-61.588,A,0.211,0.0,0.054,
16,1181,-30.78,57,56.1,0,0.5534,0.7221,28.5,10.452,-1.25,-68.482,A,0.212,0.0,0.054,
17,1225,-9.24,44,59.1,0,0.5132,0.6403,22.0,11.625,-0.9,-41.963,A,0.212,0.0,0.054,
18,1298,-28.08,73,47.9,0,0.5042,0.6659,36.5,15.186,-1.9,-77.87,A,0.213,0.0,0.055,
19,1447,-98.02,149,32.9,0,0.5281,0.6644,74.5,13.195,-5.0,-160.716,A,0.214,0.0,0.055,lost_target
20,1494,-11.6,47,53.2,0,0.4981,0.6286,23.5,10.582,-1.1,-44.579,A,0.215,0.0,0.055,
21,1545,-12.4,51,62.7,0,0.5013,0.6326,25.5,13.16,-0.95,-50.109,A,0.215,0.0,0.056,
22,1598,-19.9,53,49.1,0,0.5017,0.6422,26.5,7.295,-1.35,-52.346,A,0.216,0.0,0.056,
23,1733,-76.1,135,61.5,0,0.5294,0.6882,67.5,10.275,-2.6,-151.278,A,0.217,0.0,0.056,
24,1818,-47.46,85,81.2,0,0.5276,0.6778,42.5,4.783,-0.8,-93.943,A,0.218,0.0,0.056,
25,1897,-45.03,79,57.0,0,0.5312,0.6974,39.5,9.703,-1.7,-92.537,A,0.219,0.0,0.057,
26,2015,-51.27,118,44.1,0,0.5202,0.6387,59.0,13.856,-3.3,-120.824,A,0.22,0.0,0.057,
27,2131,-45.3,116,87.1,0,0.5079,0.6622,58.0,20.959,-0.75,-123.513,A,0.221,0.0,0.058,
28,2193,-31.74,62,51.6,0,0.549,0.7238,31.0,16.639,-1.5,-77.881,A,0.222,0.0,0.058,
29,2251,-25.97,58,62.1,0,0.5082,0.677,29.0,8.802,-1.1,-62.667,A,0.223,0.0,0.058,
30,2394,-62.93,143,53.8,0,0.5351,0.6314,71.5,12.994,-3.3,-144.123,A,0.224,0.0,0.059,
31,2523,-50.23,129,51.2,0,0.5078,0.6603,64.5,25.896,-3.15,-137.471,A,0.225,0.0,0.059,
32,2602,-38.7,79,53.2,0,0.5053,0.6987,39.5,13.556,-1.85,-89.902,A,0.226,0.0,0.059,
33,2678,-31.91,76,55.3,0,0.5258,0.6466,38.0,8.923,-1.7,-77.131,A,0.227,0.0,0.06,
34,2765,-31.39,87,67.8,0,0.5177,0.6853,43.5,22.558,-1.4,-96.051,A,0.228,0.0,0.06,
35,2963,-112.9,198,34.8,0,0.5179,0.6544,99.0,18.319,-6.45,-203.774,A,0.23,0.0,0.061,lost_target
36,3125,-77.73,162,48.8,0,0.5055,0.6427,81.0,8.705,-4.15,-163.28,A,0.231,0.0,0.061,
37,3233,-46.98,108,63.0,0,0.501,0.6489,54.0,11.794,-2.0,-110.777,A,0.232,0.0,0.062,
38,3301,-25.54,68,73.5,0,0.5175,0.669,34.0,13.531,-0.9,-72.17,A,0.233,0.0,0.062,
39,3470,-55.32,169,100.0,0,0.4937,0.6112,84.5,16.77,0.0,-156.594,A,0.235,0.0,0.062,
40,3599,-79.97,129,22.5,0,0.5079,0.6512,64.5,12.614,-5.0,-132.087,A,0.236,0.0,0.063,lost_target
41,3736,-63.33,137,43.8,0,0.5012,0.6466,68.5,8.238,-3.85,-136.221,A,0.237,0.0,0.063,
42,3886,-64.93,150,38.0,0,0.5067,0.6283,75.0,13.203,-4.65,-148.485,A,0.239,0.0,0.064,
43,3944,-21.07,58,55.2,0,0.487,0.6473,29.0,8.455,-1.3,-57.222,A,0.239,0.0,0.064,
44,4138,-86.15,194,58.2,0,0.4963,0.6491,97.0,18.24,-4.05,-197.344,A,0.241,0.0,0.065,
45,4420,-103.71,282,54.3,0,0.5041,0.6369,141.0,44.782,-6.45,-283.04,A,0.244,0.0,0.066,
46,4672,-108.59,252,60.3,0,0.5028,0.6613,126.0,47.474,-5.0,-257.063,A,0.247,0.0,0.067,lost_target
47,4934,-98.36,262,56.9,0,0.5027,0.6566,131.0,63.336,-5.65,-267.044,A,0.249,0.0,0.068,lost_target
48,5118,-79.44,184,52.2,0,0.5109,0.6521,92.0,22.909,-4.4,-189.945,A,0.251,0.0,0.068,
49,5301,-76.55,183,33.3,0,0.5156,0.6299,91.5,13.04,-6.1,-174.995,A,0.253,0.0,0.069,
50,5513,-82.1,212,52.8,0,0.5027,0.6428,106.0,49.485,-5.0,-212.583,A,0.255,0.0,0.07,lost_target
