episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_alive_sum,r_track_sum,r_invis_sum,r_jerk_sum,phase,alpha,target_speed,jitter_xy,term_reason
1,100,-72.81,100,0.0,0,0.4945,0.6408,50.0,0.0,-5.0,-97.814,A,0.201,0.0,0.05,lost_target
2,200,-94.55,100,0.0,0,0.5304,0.7057,50.0,0.0,-5.0,-119.548,A,0.202,0.0,0.051,lost_target
3,294,-62.67,94,0.0,0,0.5296,0.6952,47.0,0.0,-4.7,-104.971,A,0.203,0.0,0.051,
4,352,-30.35,58,0.0,0,0.487,0.6326,29.0,0.0,-2.9,-56.453,A,0.204,0.0,0.051,
5,450,-66.18,98,0.0,0,0.5332,0.6867,49.0,0.0,-4.9,-110.282,A,0.204,0.0,0.052,
6,495,-25.73,45,0.0,0,0.5045,0.6383,22.5,0.0,-2.25,-45.977,A,0.205,0.0,0.052,
7,595,-91.06,100,0.0,0,0.5283,0.6993,50.0,0.0,-5.0,-116.056,A,0.206,0.0,0.052,lost_target
8,665,-42.03,70,0.0,0,0.4889,0.6675,35.0,0.0,-3.5,-73.53,A,0.207,0.0,0.052,
9,705,-34.12,40,0.0,0,0.5681,0.7669,20.0,0.0,-2.0,-52.121,A,0.207,0.0,0.053,
10,762,-26.92,57,0.0,0,0.5084,0.6167,28.5,0.0,-2.85,-52.572,A,0.208,0.0,0.053,
11,831,-47.31,69,0.0,0,0.5139,0.6906,34.5,0.0,-3.45,-78.355,A,0.208,0.0,0.053,
12,898,-49.03,67,0.0,0,0.5046,0.717,33.5,0.0,-3.35,-79.179,A,0.209,0.0,0.053,
13,947,-25.56,49,0.0,0,0.5055,0.6272,24.5,0.0,-2.45,-47.606,A,0.209,0.0,0.053,
14,1039,-59.27,92,0.0,0,0.4962,0.6863,46.0,0.0,-4.6,-100.666,A,0.21,0.0,0.054,
15,1108,-54.94,69,0.0,0,0.5302,0.7329,34.5,0.0,-3.45,-85.985,A,0.211,0.0,0.054,
16,1208,-89.21,100,0.0,0,0.5381,0.6971,50.0,0.0,-5.0,-114.209,A,0.212,0.0,0.054,lost_target
17,1308,-82.14,100,0.0,0,0.5073,0.6719,50.0,0.0,-5.0,-107.138,A,0.213,0.0,0.055,lost_target
18,1395,-49.65,87,0.0,0,0.5116,0.6489,43.5,0.0,-4.35,-88.795,A,0.214,0.0,0.055,
19,1468,-49.71,73,0.0,0,0.5289,0.6884,36.5,0.0,-3.65,-82.56,A,0.215,0.0,0.055,
20,1525,-28.61,57,0.0,0,0.4913,0.6272,28.5,0.0,-2.85,-54.264,A,0.215,0.0,0.055,
21,1601,-40.07,76,0.0,0,0.4942,0.6331,38.0,0.0,-3.8,-74.273,A,0.216,0.0,0.056,
22,1679,-53.89,78,0.0,0,0.53,0.704,39.0,0.0,-3.9,-88.992,A,0.217,0.0,0.056,
23,1774,-64.39,95,0.0,0,0.5306,0.6857,47.5,0.0,-4.75,-107.137,A,0.218,0.0,0.056,
24,1827,-29.33,53,0.0,0,0.5218,0.6475,26.5,0.0,-2.65,-53.185,A,0.218,0.0,0.057,
25,1905,-61.58,78,0.0,0,0.5465,0.7167,39.0,0.0,-3.9,-96.676,A,0.219,0.0,0.057,
26,1975,-42.9,70,0.0,0,0.527,0.6686,35.0,0.0,-3.5,-74.401,A,0.22,0.0,0.057,
27,2019,-19.86,44,0.0,0,0.5038,0.5834,22.0,0.0,-2.2,-39.661,A,0.22,0.0,0.057,
28,2099,-48.38,80,0.0,0,0.5053,0.661,40.0,0.0,-4.0,-84.378,A,0.221,0.0,0.057,
29,2141,-28.09,42,0.0,0,0.5221,0.689,21.0,0.0,-2.1,-46.99,A,0.221,0.0,0.058,
30,2187,-30.0,46,0.0,0,0.5561,0.6738,23.0,0.0,-2.3,-50.702,A,0.222,0.0,0.058,
31,2241,-37.39,54,0.0,0,0.5179,0.6929,27.0,0.0,-2.7,-61.687,A,0.222,0.0,0.058,
32,2317,-38.4,76,0.0,0,0.5155,0.6183,38.0,0.0,-3.8,-72.605,A,0.223,0.0,0.058,
33,2402,-56.5,85,0.0,0,0.5445,0.677,42.5,0.0,-4.25,-94.751,A,0.224,0.0,0.059,
34,2484,-52.57,82,0.0,0,0.5276,0.6672,41.0,0.0,-4.1,-89.472,A,0.225,0.0,0.059,
35,2529,-26.8,45,0.0,0,0.5071,0.6476,22.5,0.0,-2.25,-47.052,A,0.225,0.0,0.059,
36,2580,-34.58,51,0.0,0,0.5197,0.6941,25.5,0.0,-2.55,-57.526,A,0.226,0.0,0.059,
37,2643,-37.8,63,0.0,0,0.512,0.6707,31.5,0.0,-3.15,-66.155,A,0.226,0.0,0.059,
38,2695,-33.81,52,0.0,0,0.5585,0.681,26.0,0.0,-2.6,-57.209,A,0.227,0.0,0.06,
39,2742,-32.91,47,0.0,0,0.5419,0.7039,23.5,0.0,-2.35,-54.064,A,0.227,0.0,0.06,
40,2782,-23.78,40,0.0,0,0.518,0.6656,20.0,0.0,-2.0,-41.782,A,0.228,0.0,0.06,
41,2882,-67.65,100,0.0,0,0.5235,0.6142,50.0,0.0,-5.0,-92.65,A,0.229,0.0,0.06,lost_target
42,2982,-89.17,100,0.0,0,0.5424,0.6841,50.0,0.0,-5.0,-114.168,A,0.23,0.0,0.061,lost_target
43,3034,-23.36,52,0.0,0,0.4881,0.6211,26.0,0.0,-2.6,-46.76,A,0.23,0.0,0.061,
44,3075,-23.23,41,0.0,0,0.5592,0.6264,20.5,0.0,-2.05,-41.681,A,0.231,0.0,0.061,
45,3130,-31.19,55,0.0,0,0.5529,0.6359,27.5,0.0,-2.75,-55.941,A,0.231,0.0,0.061,
46,3188,-40.66,58,0.0,0,0.5087,0.7041,29.0,0.0,-2.9,-66.763,A,0.232,0.0,0.061,
47,3245,-29.19,57,0.0,0,0.5025,0.6278,28.5,0.0,-2.85,-54.838,A,0.232,0.0,0.062,
48,3287,-24.0,42,0.0,0,0.5467,0.6529,21.0,0.0,-2.1,-42.903,A,0.233,0.0,0.062,
49,3324,-18.89,37,0.0,0,0.5116,0.6168,18.5,0.0,-1.85,-35.537,A,0.233,0.0,0.062,
50,3368,-21.73,44,0.0,0,0.5004,0.6358,22.0,0.0,-2.2,-41.525,A,0.234,0.0,0.062,
51,3428,-23.49,60,0.0,0,0.5091,0.5665,30.0,0.0,-3.0,-50.491,A,0.234,0.0,0.062,
52,3485,-31.96,57,0.0,0,0.535,0.6461,28.5,0.0,-2.85,-57.61,A,0.235,0.0,0.062,
53,3572,-48.78,87,0.0,0,0.5165,0.6427,43.5,0.0,-4.35,-87.932,A,0.236,0.0,0.063,
54,3621,-22.76,49,0.0,0,0.529,0.616,24.5,0.0,-2.45,-44.811,A,0.236,0.0,0.063,
55,3695,-43.93,74,0.0,0,0.5205,0.669,37.0,0.0,-3.7,-77.228,A,0.237,0.0,0.063,
56,3744,-25.14,49,0.0,0,0.5167,0.6394,24.5,0.0,-2.45,-47.187,A,0.237,0.0,0.063,
57,3790,-27.84,46,0.0,0,0.5183,0.6574,23.0,0.0,-2.3,-48.537,A,0.238,0.0,0.064,
