episode,timestep,reward,steps,mean_distance,visibility_pct,mean_fraction,mean_fraction_error,target_speed
1,61,-505.0,61,5.799,0.0,0,0,0.05
2,117,-480.0,56,3.91,0.0,0,0,0.05
3,179,-11455.0,62,4.617,17.7,0.0116,0.2384,0.05
4,238,-495.0,59,5.865,0.0,0,0,0.05
5,320,-610.0,82,3.47,0.0,0,0,0.05
6,381,-505.0,61,4.648,0.0,0,0,0.05
7,444,-515.0,63,3.58,0.0,0,0,0.05
8,490,-430.0,46,5.167,0.0,0,0,0.05
9,559,-545.0,69,2.753,0.0,0,0,0.05
10,644,-625.0,85,3.684,0.0,0,0,0.05
11,694,-450.0,50,4.201,0.0,0,0,0.05
12,728,-370.0,34,3.546,0.0,0,0,0.05
13,791,-10284.0,63,4.23,17.5,0.0554,0.1946,0.05
14,852,-505.0,61,4.381,0.0,0,0,0.05
15,909,-19814.35,57,2.915,75.4,0.1131,0.1369,0.05
16,943,-370.0,34,3.211,0.0,0,0,0.05
17,1041,-690.0,98,4.295,0.0,0,0,0.05
18,1155,-6740.0,114,4.164,5.3,0.0205,0.2295,0.05
19,1263,-740.0,108,7.932,0.0,0,0,0.05
20,1384,-805.0,121,5.159,0.0,0,0,0.05
21,1434,-450.0,50,6.636,0.0,0,0,0.05
22,1498,-520.0,64,5.13,0.0,0,0,0.05
23,1601,-19620.0,103,4.782,18.4,0.0125,0.2375,0.05
24,1659,-490.0,58,4.999,0.0,0,0,0.05
25,1737,-590.0,78,4.58,0.0,0,0,0.05
26,1829,-660.0,92,3.024,0.0,0,0,0.05
27,1945,-780.0,116,4.813,0.0,0,0,0.05
28,2034,-645.0,89,4.105,0.0,0,0,0.05
29,2094,-500.0,60,4.757,0.0,0,0,0.051
30,2147,-465.0,53,7.381,0.0,0,0,0.051
31,2243,-680.0,96,2.966,0.0,0,0,0.051
32,2318,-575.0,75,6.5,0.0,0,0,0.051
33,2403,-625.0,85,2.999,0.0,0,0,0.051
34,2473,-550.0,70,7.42,0.0,0,0,0.051
35,2526,-465.0,53,6.822,0.0,0,0,0.051
36,2595,-545.0,69,3.011,0.0,0,0,0.051
37,2651,-480.0,56,4.199,0.0,0,0,0.051
38,2720,-545.0,69,3.249,0.0,0,0,0.051
39,2775,-475.0,55,3.828,0.0,0,0,0.051
40,2864,-645.0,89,3.539,0.0,0,0,0.051
41,2948,-620.0,84,4.648,0.0,0,0,0.051
42,3027,-595.0,79,5.833,0.0,0,0,0.051
43,3083,-480.0,56,6.366,0.0,0,0,0.051
44,3202,-795.0,119,6.002,0.0,0,0,0.051
45,3340,-14113.67,138,3.527,47.8,0.178,0.099,0.051
46,3412,-560.0,72,3.598,0.0,0,0,0.051
47,3490,-590.0,78,4.626,0.0,0,0,0.051
