episode,timestep,reward,steps,mean_distance,visibility_pct,mean_fraction,mean_fraction_error,target_speed,phase,r_survival,r_stability,r_centering,r_scale,r_discovery,r_not_visible
1,1000,62.09,1000,3.17,0.0,0.0,0.0,0.0,A,0.05,0.8979,0.0,0.0,0.0,-0.5
2,2000,35.63,1000,2.811,22.5,0.0831,-0.1669,0.0,A,0.05,0.92,0.0795,0.1795,12.0,-0.3875
3,3000,19.81,1000,2.516,19.9,0.0318,-0.2182,0.0,A,0.05,0.92,0.0237,0.0806,15.0,-0.4005
4,4000,14.91,1000,1.843,0.0,0.0,0.0,0.0,A,0.05,0.916,0.0,0.0,0.0,-0.5
5,5000,15.19,1000,2.263,0.0,0.0,0.0,0.0,A,0.05,0.8901,0.0,0.0,0.0,-0.5
6,6000,30.55,1000,2.499,26.4,0.0886,-0.1614,0.0,A,0.05,0.8995,0.2396,0.2313,18.0,-0.368
7,7000,10.16,1000,1.646,0.0,0.0,0.0,0.0,A,0.05,0.8718,0.0,0.0,0.0,-0.5
8,8000,11.56,1000,1.638,0.0,0.0,0.0,0.0,A,0.05,0.9052,0.0,0.0,0.0,-0.5
9,9000,11.87,1000,1.613,0.0,0.0,0.0,0.0,A,0.05,0.8958,0.0,0.0,0.0,-0.5
10,10000,12.05,1000,2.054,0.0,0.0,0.0,0.0,A,0.05,0.8829,0.0,0.0,0.0,-0.5
11,11000,13.39,1000,2.715,0.0,0.0,0.0,0.0,A,0.05,0.9118,0.0,0.0,0.0,-0.5
12,12000,13.63,1000,2.69,0.5,0.0031,-0.2469,0.0,A,0.05,0.8963,0.0001,0.0012,3.0,-0.4975
13,13000,16.45,1000,2.498,10.1,0.0091,-0.2409,0.0,A,0.05,0.8719,0.0106,0.027,18.0,-0.4495
14,14000,45.38,1000,2.898,62.3,0.0752,-0.1748,0.0,A,0.05,0.8931,0.5678,0.4615,36.0,-0.1885
15,15000,9.08,1000,2.039,0.0,0.0,0.0,0.0,A,0.05,0.8978,0.0,0.0,0.0,-0.5
16,16000,9.22,1000,1.464,0.0,0.0,0.0,0.0,A,0.05,0.8926,0.0,0.0,0.0,-0.5
17,17000,17.7,1000,2.844,38.3,0.0418,-0.2082,0.0,A,0.05,0.8594,0.044,0.1773,15.0,-0.3085
18,18000,8.48,1000,2.202,0.0,0.0,0.0,0.0,A,0.05,0.8434,0.0,0.0,0.0,-0.5
19,19000,7.31,1000,2.125,0.0,0.0,0.0,0.0,A,0.05,0.7827,0.0,0.0,0.0,-0.5
20,20000,9.57,1000,2.259,0.0,0.0,0.0,0.0,A,0.05,0.8773,0.0,0.0,0.0,-0.5
21,21000,5.7,1000,2.923,0.0,0.0,0.0,0.0,A,0.05,0.7005,0.0,0.0,0.0,-0.5
22,22000,20.16,1000,2.696,23.2,0.0837,-0.1663,0.0,A,0.05,0.8502,0.1661,0.1965,18.0,-0.384
23,23000,8.96,1000,3.121,0.0,0.0,0.0,0.0,A,0.05,0.8492,0.0,0.0,0.0,-0.5
24,24000,8.97,1000,2.0,0.0,0.0,0.0,0.0,A,0.05,0.8426,0.0,0.0,0.0,-0.5
25,25000,5.38,1000,2.403,0.0,0.0,0.0,0.0,A,0.05,0.6825,0.0,0.0,0.0,-0.5
26,26000,8.27,1000,2.014,0.0,0.0,0.0,0.0,A,0.05,0.8031,0.0,0.0,0.0,-0.5
27,27000,6.76,1000,2.916,0.0,0.0,0.0,0.0,A,0.05,0.7349,0.0,0.0,0.0,-0.5
28,27379,2.51,379,3.645,0.0,0.0,0.0,0.0,A,0.05,0.7538,0.0,0.0,0.0,-0.5
29,28379,10.01,1000,2.22,0.0,0.0,0.0,0.0,A,0.05,0.8647,0.0,0.0,0.0,-0.5
30,29379,14.47,1000,2.819,10.3,0.1011,-0.1489,0.0,A,0.05,0.8062,0.0817,0.0993,6.0,-0.4485
31,30379,8.72,1000,2.483,0.0,0.0,0.0,0.0,A,0.05,0.8041,0.0,0.0,0.0,-0.5
32,30848,4.04,469,3.676,0.0,0.0,0.0,0.0,A,0.05,0.8178,0.0,0.0,0.0,-0.5
33,31848,9.01,1000,2.112,0.0,0.0,0.0,0.0,A,0.05,0.8094,0.0,0.0,0.0,-0.5
34,32848,8.82,1000,3.188,0.0,0.0,0.0,0.0,A,0.05,0.7975,0.0,0.0,0.0,-0.5
35,33575,2.64,727,2.407,0.0,0.0,0.0,0.0,A,0.05,0.6056,0.0,0.0,0.0,-0.5
36,34575,6.65,1000,2.924,0.0,0.0,0.0,0.0,A,0.05,0.7087,0.0,0.0,0.0,-0.5
37,35575,7.21,1000,3.193,0.0,0.0,0.0,0.0,A,0.05,0.7281,0.0,0.0,0.0,-0.5
38,36575,7.2,1000,2.892,12.1,0.0701,-0.1799,0.0,A,0.05,0.5437,0.0345,0.0846,3.0,-0.4395
39,37203,2.45,628,3.0,0.0,0.0,0.0,0.0,A,0.05,0.6167,0.0,0.0,0.0,-0.5
40,38203,8.39,1000,2.768,0.0,0.0,0.0,0.0,A,0.05,0.7712,0.0,0.0,0.0,-0.5
41,38897,3.1,694,2.732,0.0,0.0,0.0,0.0,A,0.05,0.6343,0.0,0.0,0.0,-0.5
42,39548,10.66,651,3.012,21.8,0.0798,-0.1702,0.0,A,0.05,0.6517,0.1293,0.1753,15.0,-0.3909
43,40548,11.25,1000,2.031,0.0,0.0,0.0,0.0,A,0.05,0.8767,0.0,0.0,0.0,-0.5
44,41548,11.79,1000,2.997,10.8,0.0302,-0.2198,0.0,A,0.05,0.776,0.0062,0.0419,15.0,-0.446
45,42057,1.84,509,2.945,1.2,0.0208,-0.2292,0.0,A,0.05,0.5868,0.002,0.0039,3.0,-0.4941
46,42561,0.46,504,2.47,0.0,0.0,0.0,0.0,A,0.05,0.5042,0.0,0.0,0.0,-0.5
47,43561,4.97,1000,3.486,0.0,0.0,0.0,0.0,A,0.05,0.6349,0.0,0.0,0.0,-0.5
48,44089,0.21,528,2.906,0.0,0.0,0.0,0.0,A,0.05,0.4836,0.0,0.0,0.0,-0.5
49,44867,4.87,778,2.261,0.0,0.0,0.0,0.0,A,0.05,0.6951,0.0,0.0,0.0,-0.5
50,45867,9.72,1000,2.345,0.0,0.0,0.0,0.0,A,0.05,0.8072,0.0,0.0,0.0,-0.5
51,46867,8.8,1000,2.384,0.0,0.0,0.0,0.0,A,0.05,0.7707,0.0,0.0,0.0,-0.5
52,47867,8.39,1000,1.85,0.0,0.0,0.0,0.0,A,0.05,0.7532,0.0,0.0,0.0,-0.5
53,48867,17.38,1000,2.964,16.8,0.0957,-0.1543,0.0,A,0.05,0.648,0.1841,0.1577,9.0,-0.416
