episode,timestep,reward,steps,mean_pos_error,mean_alt_error,omega_scale,phase,r_tracking,r_velocity,r_altitude,r_stability,r_progress,r_off_track
1,62,22.5,62,0.2218,1.4138,0.3,A,1.1077,0.8225,0.0,0.3316,0.1,-0.0645
2,266,4.71,204,1.4196,2.2868,0.3,A,0.5071,0.0836,0.0,0.3952,0.1,-0.2868
3,363,5.74,97,0.2176,1.567,0.3,A,1.1851,0.515,0.0,0.4926,0.1,-0.067
4,443,4.61,80,0.2068,1.4421,0.3,A,1.0936,0.6347,0.0,0.5984,0.1,-0.0437
5,506,3.78,63,0.1853,1.4476,0.3,A,1.2184,0.8701,0.0,0.3699,0.1,-0.0397
6,599,4.74,93,0.3123,1.3988,0.3,A,1.003,0.6714,0.0,0.4354,0.1,-0.1237
7,645,2.65,46,0.1059,1.4235,0.3,A,1.563,0.5322,0.0,0.2791,0.1,0.0
8,684,2.64,39,0.1019,1.3846,0.3,A,1.5931,0.8016,0.0,0.3932,0.1,0.0
9,755,2.85,71,0.2603,1.3892,0.3,A,1.0613,0.24,0.0,0.3898,0.1,-0.0986
10,822,3.8,67,0.1524,1.5138,0.3,A,1.3776,0.2926,0.0,0.5372,0.1,-0.0224
11,867,2.4,45,0.1419,1.395,0.3,A,1.3486,0.3395,0.0,0.4358,0.1,0.0
12,943,3.04,76,0.2804,1.4764,0.3,A,1.0367,0.1536,0.0,0.4402,0.1,-0.1053
13,998,2.57,55,0.1781,1.3146,0.3,A,1.241,0.1484,0.0,0.4308,0.1,-0.0273
14,1054,4.1,56,0.0838,1.3708,0.3,A,1.6883,0.6095,0.0,0.4336,0.1,0.0
15,1137,4.03,83,0.3672,1.5136,0.3,A,0.883,0.6049,0.0,0.4321,0.1,-0.1446
16,1195,4.12,58,0.131,1.4662,0.3,A,1.4173,0.7519,0.0,0.4438,0.1,0.0
17,1307,2.68,112,0.9042,1.562,0.3,A,0.5539,0.1771,0.0,0.3864,0.1,-0.2723
18,1381,4.47,74,0.1811,1.4483,0.3,A,1.2756,0.4056,0.0,0.5076,0.1,-0.0473
19,1496,3.45,115,0.8068,1.8201,0.3,A,0.6637,0.2452,0.0,0.3657,0.1,-0.2348
20,1661,6.56,165,1.3057,1.8712,0.3,A,0.5987,0.5987,0.0,0.398,0.1,-0.2727
21,1733,3.49,72,0.3702,1.4519,0.3,A,0.8718,0.6727,0.0,0.2957,0.1,-0.1458
22,1842,3.21,109,0.8757,1.6387,0.3,A,0.5318,0.4279,0.0,0.3024,0.1,-0.2752
23,1933,3.29,91,0.4603,1.746,0.3,A,0.8628,0.1821,0.0,0.3428,0.1,-0.1703
24,1998,3.65,65,0.1835,1.4012,0.3,A,1.2212,0.2386,0.0,0.4827,0.1,-0.0385
25,2063,4.13,65,0.2496,1.3894,0.304,A,1.0222,0.8515,0.0,0.3466,0.1,-0.0846
26,2112,4.27,49,0.0986,1.3365,0.304,A,1.6136,0.8259,0.0,0.5102,0.1,0.0
27,2229,4.89,117,0.8304,1.9624,0.304,A,0.7959,0.5721,0.0,0.2212,0.1,-0.235
28,2371,5.84,142,0.8325,1.8906,0.304,A,0.6753,0.5837,0.0,0.3164,0.1,-0.257
29,2474,6.24,103,0.2628,1.4092,0.304,A,0.9887,0.5349,0.0,0.5712,0.1,-0.0874
30,2617,2.97,143,1.578,1.7413,0.304,A,0.4299,0.1966,0.0,0.3599,0.1,-0.3182
31,2671,2.73,54,0.191,1.577,0.304,A,1.128,0.3227,0.0,0.3409,0.1,-0.0185
32,2729,2.76,58,0.2101,1.4875,0.304,A,1.0781,0.1654,0.0,0.4577,0.1,-0.0431
33,2787,4.43,58,0.132,1.4298,0.304,A,1.4504,0.798,0.0,0.3659,0.1,-0.0086
34,2826,3.05,39,0.0713,1.4291,0.304,A,1.8007,0.5418,0.0,0.411,0.1,0.0
35,2868,3.24,42,0.0833,1.4115,0.304,A,1.7162,0.5415,0.0,0.4454,0.1,0.0
36,2935,2.46,67,0.2682,1.4811,0.304,A,0.9985,0.0145,0.0,0.3577,0.1,-0.097
37,3002,5.19,67,0.1816,1.4463,0.304,A,1.3062,0.9612,0.0,0.3994,0.1,-0.0522
38,3093,2.91,91,0.4613,1.2609,0.304,A,0.728,0.0252,0.0,0.5047,0.1,-0.1813
39,3141,2.34,48,0.1619,1.4371,0.304,A,1.2644,0.0967,0.0,0.3629,0.1,0.0
40,3197,3.25,56,0.1657,1.3321,0.304,A,1.242,0.2384,0.0,0.5198,0.1,0.0
41,3243,4.35,46,0.0602,1.4544,0.304,A,1.8508,0.7429,0.0,0.6388,0.1,0.0
42,3305,6.06,62,0.0689,1.32,0.304,A,1.8044,0.8844,0.0,0.6002,0.1,0.0
43,3380,2.05,75,0.4181,1.4782,0.304,A,0.7346,0.0559,0.0,0.3376,0.1,-0.18
44,3439,4.56,59,0.1068,1.4308,0.304,A,1.5629,0.5615,0.0,0.5194,0.1,0.0
45,3515,6.78,76,0.1029,1.2324,0.304,A,1.5969,0.772,0.0,0.6439,0.1,0.0
46,3585,6.32,70,0.0843,1.4884,0.304,A,1.7101,0.8511,0.0,0.5525,0.1,0.0
47,3669,4.59,84,0.3109,1.6192,0.304,A,0.9572,0.5728,0.0,0.4822,0.1,-0.1131
48,3711,2.67,42,0.1075,1.4392,0.304,A,1.5515,0.3566,0.0,0.4195,0.1,0.0
49,3759,2.82,48,0.1322,1.4015,0.304,A,1.4044,0.306,0.0,0.4194,0.1,0.0
50,3805,3.57,46,0.1114,1.4369,0.304,A,1.529,0.8098,0.0,0.4341,0.1,0.0
51,3877,5.2,72,0.1419,1.3896,0.304,A,1.3935,0.6209,0.0,0.5016,0.1,-0.0069
52,4021,6.18,144,1.4523,1.5415,0.304,A,0.5039,0.785,0.0,0.4529,0.1,-0.2986
53,4077,2.29,56,0.2404,1.5078,0.304,A,1.0501,0.1597,0.0,0.35,0.1,-0.0804
54,4118,3.26,41,0.0663,1.3526,0.308,A,1.8051,0.7174,0.0,0.3356,0.1,0.0
55,4195,6.45,77,0.1232,1.4143,0.308,A,1.4415,0.8399,0.0,0.61,0.1,0.0
56,4253,4.29,58,0.1226,1.4304,0.308,A,1.4997,0.7914,0.0,0.3525,0.1,-0.0086
57,4304,3.52,51,0.1166,1.3688,0.308,A,1.5,0.4959,0.0,0.4902,0.1,0.0
58,4398,6.62,94,0.2921,1.5078,0.308,A,1.1291,0.9026,0.0,0.5325,0.1,-0.117
59,4479,4.91,81,0.2611,1.4864,0.308,A,1.037,0.6871,0.0,0.5308,0.1,-0.0926
60,4572,6.72,93,0.1199,1.3174,0.308,A,1.4805,0.5282,0.0,0.5564,0.1,0.0
61,4710,5.81,138,1.4358,1.7358,0.308,A,0.568,0.8554,0.0,0.3495,0.1,-0.2935
62,4886,5.85,176,1.0438,1.1887,0.308,A,0.5571,0.2127,0.0,0.6312,0.1,-0.2557
63,5062,5.98,176,1.6545,2.1095,0.308,A,0.6602,0.3841,0.0,0.3953,0.1,-0.2727
64,5117,2.59,55,0.1737,1.3612,0.308,A,1.2222,0.0946,0.0,0.4562,0.1,-0.0091
65,5174,3.65,57,0.1659,1.3681,0.308,A,1.2476,0.6438,0.0,0.4685,0.1,0.0
66,5232,2.98,58,0.2168,1.3488,0.308,A,1.1113,0.4997,0.0,0.3534,0.1,-0.0603
67,5276,3.69,44,0.0657,1.4598,0.308,A,1.8031,0.8799,0.0,0.4287,0.1,0.0
68,5344,4.66,68,0.1951,1.4046,0.308,A,1.3027,0.9132,0.0,0.3314,0.1,-0.0662
69,5456,6.5,112,0.4907,1.6358,0.308,A,0.9112,0.8481,0.0,0.4946,0.1,-0.1964
70,5604,5.05,148,1.8338,2.4051,0.308,A,0.4945,0.7694,0.0,0.2441,0.1,-0.3142
71,5731,3.12,127,1.0428,1.7423,0.308,A,0.4804,0.2389,0.0,0.4276,0.1,-0.2913
72,5778,2.12,47,0.1631,1.3523,0.308,A,1.2407,0.0218,0.0,0.4547,0.1,0.0
73,5904,5.53,126,0.6258,1.515,0.308,A,0.5976,0.6858,0.0,0.4846,0.1,-0.2302
74,5953,2.58,49,0.1438,1.3523,0.308,A,1.3422,0.1425,0.0,0.4844,0.1,0.0
75,6016,5.16,63,0.0927,1.3269,0.308,A,1.6721,0.6764,0.0,0.6056,0.1,0.0
76,6103,2.26,87,0.591,1.5333,0.308,A,0.6927,0.1489,0.0,0.3091,0.1,-0.2126
77,6286,7.97,183,0.5474,1.5234,0.312,A,0.6681,0.4789,0.0,0.5987,0.1,-0.2459
78,6425,4.94,139,0.7034,1.6949,0.312,A,0.7033,0.2187,0.0,0.5457,0.1,-0.2266
79,6595,6.39,170,1.3717,1.6445,0.312,A,0.723,0.4639,0.0,0.3757,0.1,-0.2618
80,6749,8.77,154,0.5998,1.3588,0.312,A,0.7285,0.857,0.0,0.6584,0.1,-0.2208
81,6814,4.64,65,0.1389,1.2364,0.312,A,1.406,0.7325,0.0,0.5529,0.1,0.0
82,6960,7.33,146,0.8514,1.6711,0.312,A,0.8519,0.7837,0.0,0.3924,0.1,-0.2021
83,7081,6.02,121,0.6747,1.4253,0.312,A,0.7828,0.8517,0.0,0.4187,0.1,-0.2149
84,7135,3.34,54,0.1283,1.4083,0.312,A,1.4323,0.5155,0.0,0.4532,0.1,0.0
85,7305,5.03,170,1.7164,2.3089,0.312,A,0.436,0.6866,0.0,0.2595,0.1,-0.3176
86,7462,6.72,157,1.179,1.679,0.312,A,0.6035,0.7295,0.0,0.4861,0.1,-0.2675
87,7616,5.61,154,0.7807,1.6866,0.312,A,0.5716,0.3854,0.0,0.6382,0.1,-0.2792
88,7676,2.44,60,0.2088,1.4606,0.312,A,1.1105,0.0554,0.0,0.4545,0.1,-0.05
89,7830,4.06,154,1.6537,2.0425,0.312,A,0.509,0.4563,0.0,0.2701,0.1,-0.2955
90,7913,5.54,83,0.2377,1.3145,0.312,A,1.2289,0.9136,0.0,0.4243,0.1,-0.0904
91,8026,5.24,113,0.6203,1.512,0.312,A,0.7728,0.7388,0.0,0.4079,0.1,-0.2212
92,8158,6.55,132,0.2972,1.5971,0.312,A,0.8258,0.5069,0.0,0.5924,0.1,-0.1212
