episode,timestep,reward,steps,mean_pos_error,mean_alt_error,omega_scale,phase,r_tracking,r_velocity,r_altitude,r_stability,r_progress,r_off_track
1,120,23.62,120,0.7527,1.0977,0.3,A,0.8345,0.5855,0.0009,0.321,0.1,-0.2208
2,201,3.41,81,0.448,1.027,0.3,A,0.9249,0.5,0.0007,0.213,0.1,-0.179
3,277,6.86,76,0.0564,0.9112,0.3,A,1.7657,0.5,0.0006,0.6247,0.1,0.0
4,409,3.91,132,1.5089,1.6875,0.3,A,0.5597,0.6169,0.0004,0.1899,0.1,-0.303
5,447,2.84,38,0.0439,0.8192,0.3,A,1.8283,0.5,0.0013,0.3553,0.1,0.0
6,525,5.02,78,0.1836,0.8,0.3,A,1.3412,0.5,0.002,0.4322,0.1,-0.0769
7,571,3.3,46,0.0783,0.7842,0.3,A,1.6382,0.5,0.0022,0.4574,0.1,0.0
8,612,2.86,41,0.0583,0.8567,0.3,A,1.746,0.5,0.0009,0.3052,0.1,0.0
9,686,5.73,74,0.093,0.8381,0.3,A,1.5895,0.5,0.0011,0.611,0.1,0.0
10,764,5.01,78,0.1557,0.7783,0.3,A,1.3107,0.5,0.0025,0.5524,0.1,-0.0321
11,807,2.64,43,0.0885,0.8197,0.3,A,1.5839,0.5,0.0014,0.29,0.1,0.0
12,865,4.0,58,0.094,0.7985,0.3,A,1.553,0.5,0.0019,0.5282,0.1,0.0
13,927,3.59,62,0.1632,0.8073,0.3,A,1.3002,0.5,0.0017,0.4024,0.1,-0.0403
14,971,3.21,44,0.0432,0.8461,0.3,A,1.8294,0.5,0.0009,0.4265,0.1,0.0
15,1013,2.88,42,0.0652,0.8085,0.3,A,1.7083,0.5,0.0015,0.3925,0.1,0.0
16,1133,4.1,120,1.1237,1.5061,0.3,A,0.6774,0.566,0.0004,0.2307,0.1,-0.2708
17,1182,3.14,49,0.1052,0.8402,0.3,A,1.5051,0.5,0.0011,0.3178,0.1,0.0
18,1277,4.42,95,0.4682,0.8726,0.3,A,0.8984,0.5,0.0011,0.3929,0.1,-0.1842
19,1395,5.11,118,0.7811,1.3213,0.3,A,0.8087,0.5765,0.0004,0.3122,0.1,-0.2331
20,1461,4.85,66,0.111,0.7763,0.3,A,1.5059,0.5,0.0026,0.5329,0.1,-0.0076
21,1597,5.05,136,1.2463,1.0098,0.3,A,0.589,0.6188,0.0018,0.3105,0.1,-0.2868
22,1740,5.46,143,1.352,1.4003,0.3,A,0.6675,0.5692,0.0013,0.2762,0.1,-0.2762
23,1807,4.72,67,0.1293,0.8099,0.3,A,1.4349,0.5,0.0017,0.4452,0.1,-0.0224
24,1935,3.37,128,1.5635,1.5716,0.3,A,0.5329,0.3956,0.0005,0.2265,0.1,-0.3086
